node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node033,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,217.25,816.6,79.85,1.0,False
Node023,5,0,3,0.0,0.4,0.4,0.2,1.5219,5,227.4,1081.0,83.19,1.0,False
Node003,0,5,5,0.00192,0.2,0.2,0.2,2.3219,5,76.43,972.0,50.12,1.0,False
Node023,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,198.95,699.8,70.6,1.0,False
Node003,3,2,5,0.00043,0.2,0.6,0.0,2.3219,5,147.56,865.0,62.1,1.0,False
Node039_Sybil01,0,5,5,0.0015,0.2,0.2,0.2,2.3219,5,98.43,1023.8,64.54,1.0,True
Node019_Sybil01,5,0,3,0.0,0.4,0.4,0.2,1.5219,5,35.32,592.4,54.86,1.0,True
Node026_Sybil00,0,5,4,0.02766,0.4,0.0,0.0,1.9219,5,72.2,794.0,49.22,1.0,True
Node023,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,239.1,919.8,74.02,1.0,False
Node043,0,5,3,0.00083,0.6,0.0,0.2,1.371,5,49.63,781.8,61.28,1.0,False
Node039_Sybil01,3,2,4,0.00097,0.4,0.2,0.2,1.9219,5,15.3,956.6,54.74,1.0,True
Node033,0,5,3,0.00071,0.6,0.8,0.0,1.371,5,29.44,1098.2,54.77,1.0,False
Node043,3,2,5,0.001,0.2,0.4,0.0,2.3219,5,187.66,888.2,73.66,1.0,False
Node043,2,3,5,0.0005,0.2,0.4,0.4,2.3219,5,110.17,793.4,60.92,1.0,False
Node026_Sybil00,5,0,2,0.0,0.8,0.8,0.2,0.7219,5,31.76,1022.4,35.56,1.0,True
Node003,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,199.39,938.8,82.14,1.0,False
Node043,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,190.66,1206.8,76.18,1.0,False
Node039_Sybil01,3,2,4,0.00044,0.4,0.0,0.0,1.9219,4,104.14,1174.6,62.76,1.0,True
Node013,5,0,5,0.0,0.2,0.4,0.0,2.3219,5,178.17,1346.8,76.33,1.0,False
Node033,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,159.26,905.0,70.26,1.0,False
