node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,timing_entropy,latency_cv,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,findnode_ratio,enr_message_ratio,latency_spike_ratio,energy_variance,peer_overlap_ratio,degree_centrality,is_sybil
Node023,0,5,5,0.00108,0.2,0.4,0.2,2.3219,1.5567,0.9774,5,95.84,1554.0,60.76,1.0,0.2,0.2,0.0,442.9706,1.0,189,False
Node018,0,5,4,0.02962,0.4,0.2,0.6,1.9219,1.3788,0.575,5,138.48,1003.4,62.61,1.0,0.6,0.0,0.0,196.9791,1.0,191,False
Node004_Sybil01,0,5,4,0.00043,0.4,0.8,0.0,1.9219,1.3788,0.6753,5,86.19,721.2,57.85,1.0,0.0,0.0,0.0,375.1412,1.0,192,True
Node018,0,5,5,0.00083,0.2,0.2,0.0,2.3219,1.5567,0.9639,5,44.34,954.2,48.6,1.0,0.0,0.2,0.0,206.2768,1.0,191,False
Node043,0,5,5,0.00141,0.2,0.6,0.2,2.3219,1.5567,1.3123,4,82.77,973.2,57.8,1.0,0.0,0.0,0.2,353.0629,0.8,179,False
Node029_Sybil01,3,2,5,0.0005,0.2,0.4,0.0,2.3219,1.4488,1.3563,5,63.49,979.8,42.31,1.0,0.0,0.0,0.0,200.2265,1.0,190,True
Node013,4,1,4,0.00043,0.4,0.0,0.0,1.9219,1.3788,0.5855,5,172.56,1099.0,72.51,1.0,0.0,0.0,0.4,433.5007,1.0,194,False
Node023,3,2,5,0.00137,0.2,0.0,0.2,2.3219,1.4488,0.2563,5,181.0,1123.4,78.45,1.0,0.2,0.0,0.0,151.7796,1.0,189,False
Node004_Sybil01,5,0,3,0.0,0.4,0.0,0.4,1.5219,1.1488,0.3802,5,17.39,986.0,44.98,1.0,0.4,0.2,0.0,42.8198,1.0,192,True
Node043,2,3,5,0.00109,0.2,0.2,0.2,2.3219,1.5567,0.7457,5,144.16,1367.4,69.6,1.0,0.0,0.2,0.2,400.7829,1.0,179,False
Node036_Sybil00,0,5,4,0.00174,0.4,0.4,0.2,1.9219,1.3788,0.8375,5,57.71,1273.4,55.37,1.0,0.2,0.4,0.0,297.3064,1.0,192,True
Node033,5,0,4,0.0,0.4,0.4,0.6,1.9219,1.1488,0.2901,5,211.42,1491.2,76.67,1.0,0.4,0.0,0.2,119.8189,1.0,196,False
Node018,5,0,4,0.0,0.4,0.0,0.6,1.9219,1.1488,0.2091,5,237.88,997.8,76.3,1.0,0.4,0.2,0.4,97.5802,1.0,191,False
Node021_Sybil00,5,0,2,0.0,0.8,0.8,0.2,0.7219,1.1488,0.5751,5,25.01,1232.8,46.26,1.0,0.0,0.0,0.0,93.3234,1.0,192,True
Node008,1,4,4,0.00103,0.4,0.4,0.2,1.9219,1.5567,1.0663,5,93.75,1114.2,54.0,1.0,0.2,0.0,0.0,483.8571,1.0,184,False
Node024_Sybil01,4,1,3,0.0,0.6,0.6,0.2,1.371,1.1488,0.8126,5,18.33,1199.6,37.86,1.0,0.2,0.0,0.0,32.1592,1.0,197,True
Node048,0,5,5,0.0005,0.2,0.4,0.2,2.3219,1.4488,0.6448,4,91.53,1568.4,61.95,1.0,0.2,0.0,0.0,117.862,0.8,189,False
Node048,5,0,5,0.0,0.2,0.0,0.4,2.3219,1.1488,0.243,5,203.68,719.0,89.3,1.0,0.2,0.4,0.2,40.7949,1.0,189,False
Node014_Sybil01,0,5,5,0.0265,0.2,0.2,0.0,2.3219,1.3788,1.0101,5,100.89,1233.4,71.46,1.0,0.0,0.0,0.2,427.5947,1.0,194,True
Node049_Sybil01,0,5,5,0.00094,0.2,0.4,0.2,2.3219,1.5567,0.2451,5,30.19,1200.0,50.82,1.0,0.2,0.0,0.0,91.4302,1.0,188,True
Node023,5,0,5,0.0,0.2,0.2,0.2,2.3219,1.1488,0.0528,5,269.18,1333.6,79.15,1.0,0.2,0.0,0.8,56.0925,1.0,189,False
Node008,3,2,2,0.00047,0.8,1.0,0.0,0.7219,1.3788,0.3041,5,24.27,1076.2,51.23,1.0,0.0,0.0,0.0,269.5388,1.0,184,False
