node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node004_Sybil01,3,2,3,0.0,0.6,0.8,0.0,1.371,5,103.92,1361.4,63.36,1.0,True
Node044_Sybil01,5,0,2,0.0,0.6,0.0,0.0,0.971,5,26.2,948.8,44.8,1.0,True
Node044_Sybil01,5,0,2,0.0,0.6,0.0,0.0,0.971,5,31.25,1220.0,56.04,1.0,True
Node028,0,5,4,0.00081,0.4,0.4,0.4,1.9219,5,28.17,876.6,46.38,1.0,False
Node014_Sybil01,5,0,1,0.00042,1.0,1.0,0.0,0.0,5,33.31,1510.8,47.73,1.0,True
Node021_Sybil00,0,5,3,0.00042,0.6,0.6,0.2,1.371,5,22.93,1268.2,61.47,1.0,True
Node028,5,0,5,0.0,0.2,0.6,0.2,2.3219,5,222.69,1102.2,90.45,1.0,False
Node024_Sybil01,4,1,3,0.00048,0.6,0.0,0.2,1.371,5,28.06,1028.4,40.35,1.0,True
Node021_Sybil00,5,0,2,0.0,0.8,0.0,1.0,0.7219,5,26.23,1275.4,57.74,1.0,True
Node021_Sybil00,0,5,4,0.00072,0.4,0.4,0.2,1.9219,5,35.3,1318.8,46.04,1.0,True
Node014_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,5,31.09,1398.2,51.31,1.0,True
Node031_Sybil00,5,0,2,0.0,0.6,0.0,1.0,0.971,5,29.99,1350.4,42.61,1.0,True
Node041_Sybil00,5,0,2,0.0,0.6,0.0,1.0,0.971,5,38.01,1183.8,48.35,1.0,True
Node021_Sybil00,0,5,4,0.02521,0.4,0.0,0.4,1.9219,5,173.28,1042.0,78.37,1.0,True
Node001_Sybil00,0,5,4,0.0,0.4,0.4,0.4,1.9219,5,75.99,1445.8,58.78,1.0,True
Node044_Sybil01,5,0,2,0.0,0.6,0.0,0.0,0.971,5,24.9,1506.6,39.2,1.0,True
Node024_Sybil01,0,5,4,0.00082,0.4,0.2,0.6,1.9219,5,67.78,868.4,46.39,1.0,True
Node028,0,5,5,0.02683,0.2,0.2,0.2,2.3219,4,211.35,1058.4,77.28,1.0,False
Node014_Sybil01,1,4,3,0.0,0.6,0.6,0.2,1.371,5,57.97,706.4,59.28,1.0,True
Node038,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,169.43,786.6,79.76,1.0,False
Node004_Sybil01,5,0,1,0.00043,1.0,1.0,0.0,0.0,5,21.41,1083.2,56.51,1.0,True
Node024_Sybil01,1,4,3,0.00108,0.6,0.0,0.6,1.371,5,114.36,1085.4,77.32,1.0,True
Node028,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,202.89,946.6,74.59,1.0,False
Node041_Sybil00,0,5,4,1e-05,0.4,0.4,0.4,1.9219,5,111.12,831.8,60.03,1.0,True
Node018,0,5,4,0.00043,0.4,0.4,0.2,1.9219,5,139.18,986.4,64.16,1.0,False
Node038,4,1,4,0.00087,0.4,0.4,0.0,1.9219,5,197.55,702.8,68.88,1.0,False
