node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node022,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,232.18,1120.8,81.55,1.0,0.2,73.9629,1.0,False
Node017,0,5,5,0.00166,0.2,0.6,0.2,2.3219,5,105.37,1118.8,57.54,1.0,0.0,133.846,1.0,False
Node033_Sybil01,4,1,4,0.0,0.4,0.4,0.2,1.9219,5,29.01,968.2,49.86,1.0,0.0,188.745,1.0,True
Node017,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,237.94,730.6,85.97,1.0,0.4,172.457,1.0,False
Node042,2,3,4,0.02851,0.4,0.0,0.4,1.9219,5,163.54,1175.4,66.62,1.0,0.4,162.658,1.0,False
Node010_Sybil00,4,1,4,0.0,0.4,0.6,0.0,1.9219,4,35.61,997.0,45.14,1.0,0.0,37.6235,0.8,True
Node012,4,1,5,0.00174,0.2,0.2,0.4,2.3219,5,129.87,963.6,72.0,1.0,0.0,94.8688,1.0,False
Node022,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,235.05,1115.4,83.88,1.0,0.4,112.0639,1.0,False
Node025_Sybil00,2,3,4,0.00087,0.4,0.2,0.2,1.9219,5,153.92,1223.2,59.79,1.0,0.2,251.987,1.0,True
Node042,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,194.99,1188.8,71.2,1.0,0.2,49.7685,1.0,False
Node013_Sybil01,4,1,3,0.00356,0.6,0.6,0.2,1.371,5,16.63,1396.8,49.66,1.0,0.0,175.3963,1.0,True
Node032,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,198.08,1036.0,82.5,1.0,0.2,144.5257,1.0,False
Node017,4,1,5,0.00087,0.2,0.0,0.0,2.3219,5,225.25,1127.6,77.4,1.0,0.6,152.6289,1.0,False
Node025_Sybil00,5,0,2,0.0,0.8,0.8,0.0,0.7219,5,24.78,1330.2,52.14,1.0,0.0,137.8027,1.0,True
Node007,0,5,5,0.0045,0.2,0.6,0.2,2.3219,5,29.78,1013.0,51.37,1.0,0.0,15.7312,1.0,False
Node038_Sybil01,5,0,2,0.0,0.8,0.8,0.2,0.7219,5,22.74,611.6,57.43,1.0,0.0,55.7143,1.0,True
Node047,4,1,4,0.0,0.4,0.0,0.2,1.9219,5,209.76,624.8,71.6,1.0,0.4,508.3742,1.0,False
Node047,0,5,4,0.0,0.4,0.4,0.2,1.9219,4,106.45,832.8,61.55,1.0,0.2,823.5864,0.8,False
Node028_Sybil01,4,1,4,0.0,0.4,0.8,0.0,1.9219,5,68.22,787.8,58.54,1.0,0.0,340.5993,1.0,True
Node025_Sybil00,3,2,3,0.00364,0.4,0.8,0.0,1.5219,5,26.97,1202.6,49.91,1.0,0.0,51.5819,1.0,True
Node022,4,1,4,0.00087,0.4,0.2,0.4,1.9219,5,161.93,994.8,77.37,1.0,0.0,460.9567,1.0,False
Node007,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,216.91,897.8,81.93,1.0,0.4,104.997,1.0,False
Node035_Sybil00,0,5,4,0.02935,0.4,0.6,0.0,1.9219,5,140.72,1285.4,68.97,1.0,0.0,372.7259,1.0,True
