node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node000,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node000,0,5,3,0.00973,0.4,0.4,0.4,1.5219,5,False
Node000,0,5,4,0.0026,0.4,0.2,0.2,1.9219,5,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.6,2.3219,4,False
Node000,0,5,5,0.01306,0.2,0.4,0.2,2.3219,5,False
Node000,4,1,5,0.03648,0.2,0.2,0.2,2.3219,5,False
Node000,5,0,5,0.00022,0.2,0.4,0.4,2.3219,5,False
Node000,1,4,4,0.00569,0.4,0.2,0.2,1.9219,5,False
Node000,0,5,4,0.00622,0.4,0.2,0.4,1.9219,5,False
Node000,4,1,5,0.02478,0.2,0.4,0.4,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,4,False
Node000,1,4,4,0.00241,0.4,0.2,0.0,1.9219,5,False
Node000,0,5,3,0.00364,0.6,0.6,0.2,1.371,4,False
Node000,0,5,3,0.0021,0.4,0.4,0.4,1.5219,5,False
Node000,1,4,5,0.02125,0.2,0.0,0.6,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node000,4,1,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node000,0,5,5,0.00982,0.2,0.2,0.4,2.3219,5,False
Node000,1,4,2,0.02829,0.8,0.0,0.8,0.7219,5,False
Node000,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node000,4,1,4,0.00618,0.4,0.0,0.6,1.9219,5,False
Node000,0,5,4,0.0061,0.4,0.2,0.4,1.9219,5,False
Node000,2,3,4,0.02375,0.4,0.4,0.4,1.9219,5,False
Node000,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,False
Node000,3,2,4,0.00359,0.4,0.2,0.4,1.9219,5,False
Node000,0,5,3,0.0037,0.4,0.0,0.4,1.5219,5,False
Node000,0,5,5,0.00212,0.2,0.2,0.4,2.3219,5,False
Node000,3,2,5,0.02631,0.2,0.0,0.2,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,False
Node000,2,3,5,0.00622,0.2,0.2,0.0,2.3219,5,False
Node000,0,5,5,0.00377,0.2,0.2,0.4,2.3219,5,False
Node000,0,5,4,0.00391,0.4,0.0,0.4,1.9219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.6,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node000,0,5,4,0.01104,0.4,0.6,0.0,1.9219,5,False
Node000,0,5,4,0.00254,0.4,0.2,0.4,1.9219,5,False
Node000,2,3,4,0.02445,0.4,0.2,0.2,1.9219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.6,2.3219,5,False
Node000,3,2,5,0.00609,0.2,0.6,0.4,2.3219,5,False
Node000,1,4,3,0.02425,0.6,0.6,0.0,1.371,4,False
Node000,5,0,4,0.0,0.4,0.0,0.6,1.9219,5,False
Node000,4,1,5,0.01519,0.2,0.0,0.2,2.3219,5,False
Node000,0,5,5,0.00852,0.2,0.0,0.4,2.3219,5,False
Node000,1,4,4,0.02009,0.4,0.2,0.4,1.9219,5,False
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node000,4,1,5,0.00329,0.2,0.2,0.2,2.3219,5,False
Node000,0,5,3,0.00438,0.6,0.6,0.2,1.371,4,False
Node000,0,5,5,0.00714,0.2,0.2,0.4,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node000,5,0,3,0.0,0.4,0.2,0.4,1.5219,5,False
Node000,0,5,5,0.00427,0.2,0.0,0.4,2.3219,5,False
Node000,3,2,5,0.03612,0.2,0.2,0.4,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node000,2,3,4,0.00729,0.4,0.2,0.6,1.9219,5,False
Node000,0,5,4,0.00243,0.4,0.2,0.6,1.9219,4,False
Node000,2,3,4,0.02428,0.4,0.2,0.8,1.9219,5,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,False
Node000,3,2,3,0.00288,0.4,0.4,0.6,1.5219,4,False
Node000,0,5,5,0.00488,0.2,0.0,0.4,2.3219,5,False
Node040,0,5,4,0.00272,0.4,0.4,0.4,1.9219,5,False
Node040,0,5,4,0.00279,0.4,0.0,0.6,1.9219,5,False
Node040,2,3,5,0.00357,0.2,0.2,0.2,2.3219,5,False
Node040,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,False
Node040,3,2,4,0.00408,0.4,0.0,0.6,1.9219,4,False
Node040,0,5,4,0.00512,0.4,0.2,0.8,1.9219,4,False
Node040,0,5,4,0.00544,0.4,0.4,0.2,1.9219,5,False
Node040,5,0,3,0.0,0.4,0.4,0.4,1.5219,5,False
Node040,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node040,0,5,4,0.03189,0.4,0.2,0.2,1.9219,5,False
Node040,0,5,3,0.00378,0.4,0.4,0.2,1.5219,5,False
Node040,4,1,5,0.00898,0.2,0.0,0.4,2.3219,5,False
Node040,5,0,4,0.00027,0.4,0.2,0.0,1.9219,4,False
Node040,1,4,4,0.03186,0.4,0.4,0.6,1.9219,5,False
Node040,1,4,3,0.00393,0.4,0.4,0.0,1.5219,4,False
Node040,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node040,4,1,3,0.00175,0.4,0.0,0.8,1.5219,5,False
Node040,0,5,2,0.02849,0.8,0.8,0.0,0.7219,5,False
Node040,1,4,4,0.00521,0.4,0.0,0.4,1.9219,5,False
Node040,5,0,4,0.0,0.4,0.4,0.6,1.9219,4,False
Node040,4,1,5,0.03131,0.2,0.0,0.4,2.3219,5,False
Node040,0,5,3,0.00053,0.6,0.6,0.4,1.371,5,False
Node040,3,2,4,0.00431,0.4,0.4,0.0,1.9219,5,False
Node040,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,False
Node040,2,3,4,0.02965,0.4,0.6,0.0,1.9219,5,False
Node040,0,5,4,0.00265,0.4,0.2,0.4,1.9219,5,False
Node040,0,5,4,0.00334,0.4,0.2,0.2,1.9219,5,False
Node040,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node040,5,0,4,0.00044,0.4,0.2,0.2,1.9219,5,False
Node040,0,5,5,0.0212,0.2,0.2,0.0,2.3219,5,False
Node040,0,5,4,0.00661,0.4,0.6,0.2,1.9219,5,False
Node040,4,1,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node040,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node040,1,4,4,0.02932,0.4,0.4,0.2,1.9219,5,False
Node040,0,5,4,0.00618,0.4,0.4,0.0,1.9219,5,False
Node040,0,5,4,0.00578,0.4,0.2,0.2,1.9219,5,False
Node040,5,0,4,0.00096,0.4,0.4,0.0,1.9219,5,False
Node040,5,0,5,0.00022,0.2,0.0,0.4,2.3219,5,False
Node040,0,5,3,0.0233,0.6,0.6,0.0,1.371,5,False
Node040,0,5,4,0.00298,0.4,0.0,1.0,1.9219,5,False
Node040,0,5,4,0.00093,0.4,0.2,0.6,1.9219,5,False
Node040,3,2,4,0.005,0.4,0.0,0.6,1.9219,5,False
Node040,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node040,2,3,5,0.03282,0.2,0.2,0.4,2.3219,5,False
Node040,0,5,3,0.00504,0.4,0.4,0.2,1.5219,5,False
Node040,5,0,3,0.0,0.4,0.2,0.4,1.5219,5,False
Node040,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node040,0,5,5,0.00361,0.2,0.2,0.2,2.3219,5,False
Node040,0,5,3,0.00964,0.4,0.4,0.0,1.5219,4,False
Node040,1,4,4,0.00654,0.4,0.4,0.0,1.9219,5,False
Node040,5,0,3,0.0,0.6,0.0,0.8,1.371,5,False
Node040,4,1,5,0.0,0.2,0.0,0.4,2.3219,5,False
Node040,0,5,5,0.02562,0.2,0.2,0.4,2.3219,5,False
Node040,0,5,4,0.00415,0.4,0.4,0.4,1.9219,5,False
Node040,2,3,4,0.00522,0.4,0.2,0.2,1.9219,5,False
Node040,5,0,4,0.00142,0.4,0.4,0.4,1.9219,5,False
Node040,3,2,4,0.03888,0.4,0.2,0.0,1.9219,5,False
Node040,3,2,5,0.00731,0.2,0.0,0.4,2.3219,5,False
Node040,5,0,4,0.0,0.4,0.4,0.2,1.9219,5,False
Node040,2,3,4,0.02985,0.4,0.8,0.0,1.9219,5,False
Node040,1,4,4,0.00507,0.4,0.2,0.0,1.9219,5,False
Node040,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,False
Node040,4,1,3,0.00483,0.6,0.0,0.6,1.371,4,False
Node037,0,5,4,0.00372,0.4,0.6,0.0,1.9219,5,False
Node037,2,3,5,0.00292,0.2,0.2,0.4,2.3219,5,False
Node037,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node037,3,2,4,0.03141,0.4,0.6,0.4,1.9219,5,False
Node037,0,5,3,0.00763,0.4,0.4,0.4,1.5219,5,False
Node037,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,False
Node037,5,0,3,0.0,0.4,0.0,0.6,1.5219,5,False
Node037,0,5,5,0.00675,0.2,0.4,0.4,2.3219,5,False
Node037,0,5,4,0.00739,0.4,0.4,0.4,1.9219,5,False
Node037,4,1,3,0.0032,0.4,0.0,0.2,1.5219,5,False
Node037,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node037,1,4,3,0.00415,0.4,0.2,0.4,1.5219,4,False
Node037,0,5,3,0.00253,0.4,0.4,0.2,1.5219,5,False
Node037,0,5,5,0.00617,0.2,0.4,0.2,2.3219,5,False
Node037,4,1,4,0.00164,0.4,0.0,0.2,1.9219,5,False
Node037,5,0,5,0.0,0.2,0.4,0.0,2.3219,5,False
Node037,1,4,4,0.00224,0.4,0.4,0.2,1.9219,4,False
Node037,1,4,4,0.03563,0.4,0.2,0.4,1.9219,4,False
Node037,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node037,4,1,5,0.00282,0.2,0.4,0.2,2.3219,5,False
Node037,0,5,2,0.02479,0.8,0.8,0.2,0.7219,5,False
Node037,0,5,3,0.00188,0.4,0.4,0.2,1.5219,5,False
Node037,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,False
Node037,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,False
Node037,0,5,4,0.0307,0.4,0.2,0.6,1.9219,5,False
Node037,2,3,3,0.00568,0.6,0.6,0.2,1.371,5,False
Node037,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,False
Node037,3,2,5,0.00202,0.2,0.2,0.2,2.3219,4,False
Node037,0,5,4,0.0256,0.4,0.4,0.0,1.9219,4,False
Node037,0,5,4,0.0025,0.4,0.0,0.2,1.9219,4,False
Node037,3,2,4,0.00919,0.4,0.0,0.4,1.9219,4,False
Node037,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,False
Node037,2,3,5,0.02513,0.2,0.4,0.2,2.3219,4,False
Node037,1,4,5,0.01178,0.2,0.2,0.6,2.3219,5,False
Node037,5,0,5,0.00164,0.2,0.4,0.4,2.3219,5,False
Node037,4,1,3,0.00297,0.4,0.4,0.6,1.5219,5,False
Node037,0,5,4,0.00476,0.4,0.2,0.4,1.9219,5,False
Node037,0,5,5,0.00235,0.2,0.0,0.4,2.3219,5,False
Node037,4,1,5,0.0015,0.2,0.2,0.2,2.3219,5,False
Node037,5,0,5,0.0,0.2,0.0,0.0,2.3219,5,False
Node037,1,4,4,0.04793,0.4,0.6,0.0,1.9219,5,False
Node037,0,5,4,0.00239,0.4,0.0,0.4,1.9219,4,False
Node037,5,0,5,0.0,0.2,0.2,0.2,2.3219,4,False
Node037,5,0,5,0.0,0.2,0.2,0.6,2.3219,5,False
Node037,0,5,5,0.02091,0.2,0.2,0.4,2.3219,5,False
Node037,0,5,4,0.00265,0.4,0.4,0.0,1.9219,5,False
Node037,3,2,5,0.00156,0.2,0.2,0.2,2.3219,4,False
Node037,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,False
Node037,2,3,4,0.00424,0.4,0.0,0.2,1.9219,5,False
Node037,0,5,4,0.02976,0.4,0.4,0.2,1.9219,5,False
Node037,0,5,4,0.00455,0.4,0.2,0.4,1.9219,5,False
Node037,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node037,5,0,3,0.0,0.4,0.0,0.2,1.5219,4,False
Node037,0,5,4,0.02707,0.4,0.4,0.6,1.9219,5,False
Node037,1,4,5,0.00432,0.2,0.2,0.2,2.3219,4,False
Node037,5,0,3,0.0,0.6,0.0,0.6,1.371,5,False
Node037,4,1,4,0.00643,0.4,0.2,0.4,1.9219,5,False
Node037,0,5,4,0.00085,0.4,0.2,0.6,1.9219,5,False
Node037,0,5,5,0.00477,0.2,0.0,0.4,2.3219,4,False
Node037,2,3,4,0.00304,0.4,0.2,0.6,1.9219,5,False
Node037,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node037,3,2,4,0.00425,0.4,0.2,0.2,1.9219,5,False
Node041_Sybil00,0,5,5,0.00212,0.2,0.4,0.2,2.3219,5,True
Node041_Sybil00,0,5,3,0.0027,0.6,0.6,0.2,1.371,5,True
Node041_Sybil00,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node041_Sybil00,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node041_Sybil00,0,5,4,0.02715,0.4,0.0,0.6,1.9219,5,True
Node041_Sybil00,0,5,4,0.00461,0.4,0.4,0.4,1.9219,4,True
Node041_Sybil00,3,2,2,0.00341,0.6,0.4,0.6,0.971,5,True
Node041_Sybil00,5,0,2,0.0,0.6,0.0,1.0,0.971,4,True
Node041_Sybil00,2,3,3,0.02738,0.4,0.4,0.4,1.5219,5,True
