node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,severity
Node000,10,5,9,0.0015,0.2,0.3333,0.4,3.0566,15,204.5,994.53,73.74,1.0,0.3333,1251.1527,1.0,honest
Node000,8,7,7,0.01432,0.4667,0.4667,0.0667,2.3301,15,211.92,982.87,75.47,1.0,0.4,1101.032,1.0,honest
Node000,6,9,8,0.01593,0.2,0.3333,0.2667,2.8729,14,167.14,1013.6,65.97,1.0,0.3333,1329.6964,0.9333,honest
Node000,7,8,10,0.01652,0.2,0.2667,0.2667,3.1899,15,214.82,1165.33,84.07,1.0,0.4,771.2218,1.0,honest
Node000,9,6,9,0.00142,0.2667,0.4,0.2,2.9736,14,245.15,1155.67,88.33,1.0,0.5333,635.1893,0.9333,honest
Node000,7,8,5,0.01417,0.2667,0.2667,0.2,2.2062,15,188.63,975.0,69.08,1.0,0.4,1587.7976,1.0,honest
Node000,7,8,10,0.01646,0.2,0.2,0.4,3.1899,14,200.76,986.33,81.46,1.0,0.4,505.3057,0.9333,honest
Node000,6,9,11,0.00224,0.1333,0.2,0.2667,3.3736,14,140.06,985.13,67.37,1.0,0.2,1595.1587,0.9333,honest
Node000,10,5,9,0.01314,0.2,0.2,0.1333,2.9559,14,221.52,1199.0,85.5,1.0,0.4667,719.3482,0.9333,honest
Node000,0,15,9,0.00171,0.3333,0.4,0.2,2.8159,12,91.79,1051.67,42.59,0.9999,0.0667,1069.002,0.8,honest
Node000,10,5,8,0.01368,0.3333,0.3333,0.2,2.7329,15,220.33,1183.47,83.18,1.0,0.4667,965.1483,1.0,honest
Node000,8,7,11,0.01355,0.2,0.2,0.2667,3.3232,14,194.0,1147.87,78.17,1.0,0.3333,1099.1768,0.9333,honest
Node000,5,10,10,0.01763,0.2,0.2,0.2667,3.1899,15,184.67,1095.67,70.6,1.0,0.2667,887.5378,1.0,honest
Node000,7,8,7,0.00177,0.2,0.2,0.2,2.7396,14,217.99,951.13,80.85,1.0,0.4667,831.3967,0.9333,honest
Node000,9,6,10,0.01543,0.2,0.0667,0.3333,3.1396,14,186.04,1101.67,76.12,1.0,0.2,1161.5266,0.9333,honest
Node000,1,14,7,0.00197,0.3333,0.4667,0.2,2.5996,14,103.22,1109.4,44.66,1.0,0.2,1340.5191,0.9333,honest
Node000,10,5,11,0.01674,0.2,0.2,0.2667,3.3232,15,252.46,962.73,85.61,1.0,0.7333,913.9483,1.0,honest
Node000,7,8,7,0.01398,0.2667,0.4,0.0667,2.7069,15,171.29,1027.07,59.53,1.0,0.4,1790.2697,1.0,honest
