node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node000,5,0,4,0.0,0.4,0.6,0.2,1.9219,5,194.65,1064.4,77.9,1.0,False
Node000,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,194.17,1268.0,79.38,1.0,False
Node000,0,5,4,0.0011,0.4,0.6,0.2,1.9219,5,119.45,1375.4,56.93,1.0,False
Node000,0,5,4,0.00044,0.4,0.4,0.4,1.9219,5,16.92,1109.4,52.82,1.0,False
Node000,0,5,4,0.00043,0.4,0.0,0.6,1.9219,5,20.99,1068.2,49.02,1.0,False
Node000,4,1,5,0.02612,0.2,0.2,0.0,2.3219,5,177.02,529.8,76.15,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,243.08,1445.8,80.96,1.0,False
Node000,1,4,3,0.00305,0.4,0.0,0.2,1.5219,5,97.53,1046.8,52.37,1.0,False
Node000,2,3,4,0.02481,0.4,0.0,0.4,1.9219,5,156.88,1485.8,74.82,1.0,False
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,158.51,1293.6,80.0,1.0,False
Node000,3,2,5,0.0014,0.2,0.4,0.2,2.3219,5,107.26,1128.8,62.48,1.0,False
Node000,0,5,3,0.00252,0.4,0.6,0.0,1.5219,5,31.8,1068.8,54.39,1.0,False
Node000,1,4,4,0.02291,0.4,0.4,0.4,1.9219,5,96.44,999.4,54.33,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,213.51,867.4,81.15,1.0,False
Node000,4,1,5,0.00308,0.2,0.0,0.2,2.3219,5,184.21,1165.4,80.1,1.0,False
Node000,0,5,4,0.00083,0.4,0.4,0.2,1.9219,5,152.94,885.2,70.2,1.0,False
Node000,2,3,5,0.0255,0.2,0.2,0.2,2.3219,5,204.42,848.2,72.18,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.6,2.3219,5,172.94,1070.0,78.41,1.0,False
Node000,3,2,3,0.00245,0.6,0.6,0.2,1.371,5,194.46,703.6,73.52,1.0,False
Node000,1,4,5,0.02447,0.2,0.2,0.2,2.3219,5,102.41,1275.8,61.3,1.0,False
Node000,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,212.49,842.2,78.7,1.0,False
Node000,4,1,4,0.0,0.4,0.0,0.2,1.9219,5,153.41,1416.6,76.79,1.0,False
Node000,0,5,3,0.00193,0.4,0.2,0.4,1.5219,5,159.56,1195.2,65.91,1.0,False
Node000,2,3,5,0.02712,0.2,0.4,0.0,2.3219,5,179.54,1016.4,77.75,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,176.31,917.6,74.05,1.0,False
Node000,3,2,4,0.00048,0.4,0.4,0.2,1.9219,5,113.09,1131.0,72.16,1.0,False
Node000,0,5,3,0.0,0.6,0.0,0.8,1.371,5,90.45,1154.8,62.18,1.0,False
Node000,3,2,5,0.02613,0.2,0.2,0.0,2.3219,5,131.73,1424.4,69.56,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,195.95,1098.0,80.18,1.0,False
Node000,2,3,4,0.00039,0.4,0.6,0.2,1.9219,5,99.45,561.8,59.17,1.0,False
Node000,0,5,4,0.00087,0.4,0.4,0.2,1.9219,5,28.1,1071.6,51.43,1.0,False
Node000,0,5,4,0.0005,0.4,0.4,0.2,1.9219,4,99.83,1253.4,66.46,1.0,False
Node000,0,5,5,0.0012,0.2,0.4,0.0,2.3219,5,74.29,1238.6,67.76,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.6,2.3219,5,203.77,1339.6,83.88,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,193.19,1438.0,79.97,1.0,False
Node000,0,5,3,0.00043,0.6,0.2,0.0,1.371,5,161.82,1250.0,76.69,1.0,False
Node000,0,5,4,0.00083,0.4,0.6,0.0,1.9219,4,59.14,1459.0,51.8,1.0,False
Node000,4,1,5,0.02412,0.2,0.0,0.6,2.3219,5,212.95,476.6,75.57,1.0,False
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,208.57,808.8,82.44,1.0,False
Node000,1,4,4,0.00151,0.4,0.6,0.2,1.9219,5,149.66,1158.4,74.35,1.0,False
Node000,3,2,5,0.02696,0.2,0.2,0.6,2.3219,5,104.57,879.8,67.21,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,171.76,1436.2,82.23,1.0,False
Node000,2,3,4,0.00049,0.4,0.4,0.0,1.9219,5,81.11,696.8,56.91,1.0,False
Node000,0,5,4,0.00071,0.4,0.4,0.4,1.9219,5,81.05,940.0,63.32,1.0,False
Node000,0,5,5,0.00085,0.2,0.4,0.0,2.3219,5,107.45,1191.2,66.33,1.0,False
Node000,5,0,4,0.0,0.4,0.0,0.4,1.9219,4,231.27,1134.6,79.32,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,185.5,1390.0,87.83,1.0,False
Node000,0,5,4,0.0009,0.4,0.2,0.2,1.9219,5,90.42,1163.6,55.81,1.0,False
Node000,0,5,5,0.001,0.2,0.2,0.2,2.3219,5,127.95,1344.6,64.85,1.0,False
Node000,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,186.07,981.8,68.42,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,224.26,536.0,84.27,1.0,False
Node000,0,5,4,0.00052,0.4,0.6,0.2,1.9219,5,126.88,1387.0,67.62,1.0,False
Node000,0,5,3,0.00045,0.4,0.0,0.0,1.5219,5,149.63,802.0,66.97,1.0,False
Node000,1,4,4,0.02382,0.4,0.2,0.2,1.9219,5,94.04,1166.8,68.25,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,160.25,1412.4,84.11,1.0,False
Node000,4,1,5,0.00042,0.2,0.0,0.2,2.3219,5,216.69,1331.4,74.32,1.0,False
Node000,1,4,4,0.02136,0.4,0.2,0.2,1.9219,4,82.48,1055.0,68.8,1.0,False
Node000,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,209.44,1308.4,76.52,1.0,False
Node000,4,1,4,0.0004,0.4,0.4,0.0,1.9219,4,210.26,1456.8,80.7,1.0,False
Node000,0,5,5,0.00153,0.2,0.2,0.2,2.3219,5,73.58,1140.2,51.17,1.0,False
Node000,0,5,3,0.001,0.6,0.8,0.0,1.371,4,28.04,1181.8,46.46,1.0,False
Node017_Sybil01,3,2,5,0.00129,0.2,0.2,0.2,2.3219,5,40.03,1277.8,42.24,1.0,True
Node017_Sybil01,5,0,3,0.0,0.6,0.6,0.0,1.371,5,29.12,1017.0,42.63,1.0,True
Node017_Sybil01,2,3,4,0.0021,0.4,0.4,0.0,1.9219,5,62.95,1341.4,54.36,1.0,True
Node017_Sybil01,0,5,5,0.02585,0.2,0.2,0.4,2.3219,5,119.39,1277.6,71.98,1.0,True
Node017_Sybil01,2,3,4,0.00071,0.4,0.4,0.0,1.9219,5,99.09,865.6,54.53,1.0,True
Node017_Sybil01,5,0,2,0.00043,0.8,0.8,0.0,0.7219,5,36.0,777.8,51.62,1.0,True
Node017_Sybil01,3,2,4,0.00119,0.4,0.4,0.0,1.9219,5,38.08,748.2,47.61,1.0,True
Node017_Sybil01,0,5,5,0.0015,0.2,0.4,0.0,2.3219,5,93.33,1111.8,62.36,1.0,True
Node017_Sybil01,2,3,5,0.02464,0.2,0.4,0.4,2.3219,5,48.29,918.0,51.01,1.0,True
Node017_Sybil01,5,0,2,0.0,0.6,0.4,0.0,0.971,5,31.0,882.0,58.74,1.0,True
Node017_Sybil01,3,2,3,0.0013,0.4,0.6,0.0,1.5219,5,20.15,1130.4,50.19,1.0,True
Node017_Sybil01,1,4,5,0.02597,0.2,0.2,0.0,2.3219,4,82.37,1283.2,68.72,1.0,True
Node017_Sybil01,5,0,4,0.0,0.4,0.8,0.0,1.9219,5,33.82,924.6,54.11,1.0,True
Node017_Sybil01,4,1,3,0.00086,0.6,0.8,0.2,1.371,5,28.56,997.6,53.98,1.0,True
Node017_Sybil01,0,5,4,0.02723,0.4,0.2,0.0,1.9219,4,61.7,1305.6,59.69,1.0,True
Node017_Sybil01,3,2,3,0.00083,0.4,0.0,0.2,1.5219,5,111.3,1332.4,73.31,1.0,True
Node017_Sybil01,5,0,4,0.00043,0.4,0.4,0.0,1.9219,5,26.79,1244.6,53.48,1.0,True
Node017_Sybil01,2,3,4,0.0018,0.4,0.6,0.0,1.9219,5,41.98,1042.2,55.22,1.0,True
Node017_Sybil01,0,5,3,0.02513,0.4,0.6,0.0,1.5219,5,35.35,683.6,43.53,1.0,True
Node017_Sybil01,2,3,4,0.00044,0.4,0.6,0.0,1.9219,5,39.63,1033.8,61.98,1.0,True
Node017_Sybil01,5,0,3,0.0,0.4,0.6,0.0,1.5219,5,29.47,1186.4,56.49,1.0,True
Node017_Sybil01,3,2,4,0.00083,0.4,0.6,0.0,1.9219,5,15.09,1003.0,54.3,1.0,True
Node017_Sybil01,0,5,5,0.0272,0.2,0.2,0.2,2.3219,5,125.34,1060.0,60.09,1.0,True
Node017_Sybil01,5,0,3,0.0,0.4,0.2,0.0,1.5219,5,32.59,951.2,51.79,1.0,True
Node017_Sybil01,5,0,4,0.0,0.4,0.6,0.0,1.9219,5,28.24,816.4,53.38,1.0,True
Node017_Sybil01,0,5,5,0.0255,0.2,0.2,0.2,2.3219,5,94.81,1162.4,59.62,1.0,True
Node017_Sybil01,5,0,3,0.0,0.6,0.4,0.0,1.371,5,28.41,1102.8,40.82,1.0,True
Node017_Sybil01,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,32.57,1303.0,50.53,1.0,True
Node017_Sybil01,0,5,4,0.00118,0.4,0.2,0.2,1.9219,5,121.24,1249.2,63.82,1.0,True
Node017_Sybil01,0,5,2,0.03359,0.8,0.8,0.0,0.7219,4,19.94,1231.2,48.28,1.0,True
Node017_Sybil01,5,0,3,0.0,0.4,0.2,0.0,1.5219,5,23.55,784.8,41.41,1.0,True
Node017_Sybil01,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,24.59,1433.0,50.37,1.0,True
