node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node005,4,1,5,0.00052,0.2,0.2,0.4,2.3219,5,155.61,1142.2,73.08,1.0,False
Node005,5,0,5,0.0,0.2,0.0,0.0,2.3219,5,236.09,1140.6,85.51,1.0,False
Node018_Sybil00,1,4,4,0.00192,0.4,0.4,0.4,1.9219,5,24.84,915.4,51.86,1.0,True
Node045,4,1,4,0.00043,0.4,0.0,0.6,1.9219,5,177.25,1256.2,79.24,1.0,False
Node021_Sybil01,0,5,3,0.02328,0.4,0.4,0.0,1.5219,5,25.32,1253.0,43.73,1.0,True
Node018_Sybil00,0,5,4,0.0013,0.4,0.2,0.0,1.9219,5,127.36,1390.8,68.62,1.0,True
Node028_Sybil00,0,5,5,0.02322,0.2,0.2,0.2,2.3219,5,111.76,895.6,71.68,1.0,True
Node048_Sybil00,0,5,5,0.00083,0.2,0.4,0.2,2.3219,5,65.27,1056.4,57.24,1.0,True
Node021_Sybil01,5,0,2,0.0,0.6,0.6,0.4,0.971,5,29.18,1097.6,41.94,1.0,True
Node035,0,5,3,0.0008,0.4,0.4,0.0,1.5219,5,135.17,828.2,57.77,1.0,False
Node038_Sybil00,0,5,4,0.02275,0.4,0.0,0.2,1.9219,5,82.44,1019.4,61.81,1.0,True
Node025,4,1,5,0.00087,0.2,0.2,0.2,2.3219,5,162.49,1055.4,74.39,1.0,False
Node015,0,5,3,0.02363,0.4,0.2,0.4,1.5219,5,26.27,975.4,58.11,1.0,False
Node021_Sybil01,5,0,3,0.0,0.4,0.4,0.2,1.5219,5,23.95,1403.8,53.33,1.0,True
Node021_Sybil01,4,1,3,0.00346,0.4,0.4,0.4,1.5219,5,78.47,974.8,56.04,1.0,True
Node035,4,1,5,0.0,0.2,0.2,0.2,2.3219,5,143.34,862.6,75.76,1.0,False
Node045,3,2,5,0.02544,0.2,0.2,0.2,2.3219,5,145.98,991.4,69.82,1.0,False
Node041_Sybil01,5,0,2,0.0,0.8,0.8,0.2,0.7219,5,22.72,1043.2,54.85,1.0,True
Node035,0,5,3,0.02805,0.6,0.6,0.0,1.371,5,79.37,754.8,54.3,1.0,False
Node021_Sybil01,4,1,2,0.0,0.8,0.8,0.0,0.7219,5,31.98,1022.8,50.68,1.0,True
Node005,2,3,4,0.02638,0.4,0.6,0.2,1.9219,5,130.96,884.0,68.31,1.0,False
Node035,0,5,4,0.0,0.4,0.6,0.0,1.9219,4,133.53,1033.0,62.49,1.0,False
Node018_Sybil00,5,0,2,0.0,0.6,0.6,0.4,0.971,5,12.46,1492.2,56.67,1.0,True
Node011_Sybil01,5,0,4,0.0,0.4,0.8,0.0,1.9219,5,24.02,1346.2,54.19,1.0,True
Node018_Sybil00,1,4,4,0.00145,0.4,0.6,0.0,1.9219,5,90.91,1086.6,60.68,1.0,True
Node015,3,2,5,0.00045,0.2,0.0,0.4,2.3219,5,127.31,939.0,61.82,1.0,False
Node001_Sybil01,1,4,5,0.00086,0.2,0.2,0.2,2.3219,5,57.59,859.6,59.7,1.0,True
Node015,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,218.16,955.4,77.44,1.0,False
Node031_Sybil01,4,1,3,0.0,0.6,0.8,0.2,1.371,5,66.46,1069.6,53.62,1.0,True
Node048_Sybil00,5,0,3,0.0,0.6,0.8,0.0,1.371,5,26.1,983.4,52.77,1.0,True
Node001_Sybil01,5,0,2,0.0,0.6,0.6,0.0,0.971,5,28.31,1376.4,54.14,1.0,True
Node025,0,5,5,0.0,0.2,0.2,0.2,2.3219,5,114.48,1029.2,69.06,1.0,False
Node028_Sybil00,4,1,3,0.00607,0.6,0.8,0.0,1.371,5,28.83,786.0,48.79,1.0,True
