node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node006,3,2,5,0.03211,0.2,0.4,0.0,2.3219,5,178.93,953.2,84.58,1.0,0.2,283.8186,1.0,False
Node006,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,153.67,1180.0,78.86,1.0,0.0,165.3027,1.0,False
Node009_Sybil00,3,2,4,0.02596,0.4,0.6,0.0,1.9219,5,34.66,1165.4,53.22,1.0,0.0,164.5065,1.0,True
Node046,4,1,5,0.037,0.2,0.2,0.0,2.3219,5,216.52,1668.2,80.55,1.0,0.4,33.0967,1.0,False
Node009_Sybil00,0,5,5,0.02624,0.2,0.0,0.4,2.3219,5,134.78,1083.0,60.41,1.0,0.4,183.3068,1.0,True
Node002_Sybil01,0,5,5,0.0027,0.2,0.2,0.0,2.3219,5,108.12,815.4,64.6,1.0,0.2,459.6111,1.0,True
Node009_Sybil00,0,5,3,0.00364,0.6,0.6,0.2,1.371,4,80.46,927.8,57.76,1.0,0.0,168.2547,0.8,True
Node002_Sybil01,3,2,5,0.0,0.2,0.6,0.0,2.3219,5,28.08,912.4,55.18,1.0,0.0,109.836,1.0,True
Node012_Sybil01,0,5,4,0.00087,0.4,0.0,0.2,1.9219,5,123.55,1006.0,64.62,1.0,0.4,3.8738,1.0,True
Node036,0,5,4,0.0041,0.4,0.2,0.0,1.9219,5,48.71,1506.6,49.59,1.0,0.0,186.2987,1.0,False
Node019_Sybil00,0,5,4,0.00351,0.4,0.4,0.2,1.9219,5,34.55,1251.6,53.23,1.0,0.0,329.5085,1.0,True
Node026,0,5,4,0.02807,0.4,0.4,0.0,1.9219,5,85.34,744.4,70.94,1.0,0.0,525.8558,1.0,False
Node016,0,5,4,0.0027,0.4,0.0,0.6,1.9219,5,115.76,1201.2,67.71,1.0,0.2,643.4653,1.0,False
Node039_Sybil00,0,5,4,0.02433,0.4,0.0,0.2,1.9219,5,82.16,1427.4,60.8,1.0,0.2,65.395,1.0,True
