node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,timing_entropy,latency_cv,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,findnode_ratio,enr_message_ratio,latency_spike_ratio,energy_variance,peer_overlap_ratio,degree_centrality,is_sybil
Node000,3,2,5,0.00087,0.2,0.0,0.0,2.3219,1.3788,0.1961,4,183.85,1148.6,72.35,1.0,0.0,0.4,0.0,111.7884,0.8,193,False
Node010,3,2,5,0.00087,0.2,0.2,0.2,2.3219,1.3788,0.7647,5,129.38,1175.0,65.55,1.0,0.0,0.2,0.2,394.3182,1.0,179,False
Node000,3,2,4,0.00039,0.4,0.4,0.0,1.9219,1.3788,0.703,5,119.99,1302.0,78.58,1.0,0.0,0.4,0.0,324.9159,1.0,193,False
Node040,3,2,3,0.00061,0.6,0.8,0.0,1.371,1.3788,0.4279,4,211.89,692.4,83.78,1.0,0.0,0.2,0.4,87.1759,0.8,198,False
Node025,2,3,3,0.00206,0.4,0.4,0.4,1.5219,1.3788,1.1031,4,89.4,1053.2,57.21,1.0,0.4,0.0,0.2,299.5572,0.8,193,False
Node008_Sybil00,4,1,3,0.0,0.6,0.6,0.0,1.371,1.1488,0.4684,5,32.54,694.0,52.94,1.0,0.0,0.0,0.0,153.1441,1.0,206,True
Node020,0,5,5,0.0005,0.2,0.6,0.0,2.3219,1.4488,0.4262,5,19.63,848.6,53.8,1.0,0.0,0.0,0.0,36.724,1.0,188,False
Node000,4,1,4,0.02673,0.4,0.0,0.0,1.9219,1.3788,0.5959,5,177.72,768.8,65.95,1.0,0.0,0.0,0.4,114.767,1.0,193,False
Node026_Sybil01,4,1,3,0.00043,0.6,0.2,0.2,1.371,1.3788,0.4409,5,23.87,1382.8,59.26,1.0,0.2,0.0,0.0,41.5747,1.0,178,True
Node035,3,2,3,0.0,0.6,0.0,0.0,1.371,1.1488,0.7912,5,149.26,1050.0,68.81,1.0,0.0,0.6,0.4,306.7526,1.0,179,False
Node015,2,3,4,0.00071,0.4,0.6,0.0,1.9219,1.5567,1.0572,5,99.68,1352.2,68.13,1.0,0.0,0.2,0.2,451.5262,1.0,184,False
Node010,0,5,4,0.0005,0.4,0.4,0.0,1.9219,1.4488,1.3468,5,75.98,1226.0,57.16,1.0,0.0,0.2,0.2,117.2941,1.0,179,False
Node010,0,5,4,0.02281,0.4,0.2,0.0,1.9219,1.3788,1.4725,4,67.51,918.2,63.09,1.0,0.0,0.2,0.2,358.7185,0.8,179,False
Node013_Sybil00,4,1,2,0.00106,0.8,0.0,0.8,0.7219,1.3788,0.3493,5,36.62,1022.8,43.1,1.0,0.8,0.0,0.0,24.1995,1.0,190,True
Node033_Sybil00,3,2,4,0.0,0.4,0.6,0.2,1.9219,1.1488,0.4685,5,14.05,1190.2,57.69,1.0,0.2,0.0,0.0,173.7967,1.0,181,True
Node045,0,5,4,0.00083,0.4,0.8,0.2,1.9219,1.5567,0.1295,5,43.08,737.2,62.49,1.0,0.2,0.0,0.0,35.0551,1.0,190,False
Node040,0,5,5,0.0005,0.2,0.4,0.2,2.3219,1.4488,0.6538,4,152.48,1361.2,64.84,1.0,0.2,0.0,0.2,360.654,0.8,198,False
Node046_Sybil01,5,0,3,0.0,0.6,0.2,0.0,1.371,1.1488,0.4495,5,15.98,794.2,51.88,1.0,0.0,0.0,0.0,113.1025,1.0,189,True
Node035,4,1,4,0.00173,0.4,0.0,0.4,1.9219,1.3788,0.5629,5,132.73,1427.0,64.44,1.0,0.2,0.6,0.0,254.6791,1.0,179,False
Node010,3,2,5,0.0,0.2,0.2,0.2,2.3219,1.1488,0.4751,5,210.2,899.2,67.55,1.0,0.0,0.0,0.4,307.2135,1.0,179,False
Node015,5,0,5,0.0,0.2,0.2,0.2,2.3219,1.1488,0.3278,5,163.06,709.8,83.2,1.0,0.2,0.0,0.2,116.9928,1.0,184,False
Node016_Sybil01,5,0,2,0.0,0.8,0.8,0.2,0.7219,1.1488,0.5186,5,22.42,1264.4,41.78,1.0,0.0,0.0,0.0,11.0292,1.0,194,True
Node010,0,5,5,0.0234,0.2,0.4,0.2,2.3219,1.3788,1.4929,5,59.08,1101.0,64.22,1.0,0.2,0.2,0.0,232.5883,1.0,179,False
Node021_Sybil01,0,5,4,0.02766,0.4,0.0,0.0,1.9219,1.3788,1.1194,4,69.11,636.4,49.05,1.0,0.0,0.2,0.0,267.5733,0.8,191,True
