node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node038_Sybil01,0,5,5,0.02337,0.2,0.0,0.2,2.3219,5,156.87,1224.4,64.35,1.0,True
Node042,1,4,3,0.0273,0.6,0.2,0.0,1.371,4,67.84,869.4,50.06,1.0,False
Node012,0,5,3,0.0,0.4,0.0,0.6,1.5219,5,51.74,1029.2,53.74,1.0,False
Node022,0,5,4,0.00149,0.4,0.4,0.2,1.9219,4,60.26,1418.4,62.59,1.0,False
Node042,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,184.54,943.2,80.03,1.0,False
Node042,5,0,5,0.0,0.2,0.2,0.0,2.3219,4,180.11,1231.6,93.15,1.0,False
Node012,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,215.33,1012.6,79.77,1.0,False
Node002,4,1,4,0.00133,0.4,0.0,0.0,1.9219,5,195.59,680.0,81.15,1.0,False
Node012,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,245.07,981.6,73.48,1.0,False
Node015_Sybil00,3,2,3,0.00088,0.6,0.0,0.2,1.371,5,92.0,1045.4,64.52,1.0,True
Node048_Sybil01,3,2,3,0.02409,0.6,0.0,0.0,1.371,5,49.15,1083.6,58.76,1.0,True
Node008_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,5,39.16,852.8,50.04,1.0,True
Node022,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,165.37,783.6,75.75,1.0,False
Node028_Sybil01,0,5,4,0.00047,0.4,0.2,0.4,1.9219,5,110.7,1025.0,58.39,1.0,True
Node042,0,5,3,0.00234,0.4,0.6,0.0,1.5219,5,146.73,1002.2,67.17,1.0,False
Node015_Sybil00,5,0,1,0.0,1.0,0.0,0.0,0.0,5,26.86,1081.0,59.56,1.0,True
Node025_Sybil00,0,5,3,0.00042,0.6,0.6,0.4,1.371,5,100.65,1557.2,49.1,1.0,True
Node012,0,5,4,0.001,0.4,0.2,0.4,1.9219,4,48.74,985.8,48.53,1.0,False
Node002,4,1,5,0.02721,0.2,0.2,0.2,2.3219,5,194.42,1205.8,81.85,1.0,False
Node022,0,5,4,0.02828,0.4,0.2,0.4,1.9219,5,79.95,1015.4,54.75,1.0,False
Node038_Sybil01,0,5,4,0.02438,0.4,0.2,0.0,1.9219,5,80.57,1037.8,59.39,1.0,True
Node025_Sybil00,0,5,5,0.0,0.2,0.2,0.4,2.3219,5,73.28,1046.2,54.73,1.0,True
Node005_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,28.81,1074.6,47.12,1.0,True
Node005_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,30.58,944.4,49.89,1.0,True
Node032,0,5,4,0.00158,0.4,0.2,0.4,1.9219,5,18.05,1282.2,47.0,1.0,False
Node042,5,0,4,0.0,0.4,0.2,0.2,1.9219,4,215.83,1040.4,74.89,1.0,False
Node042,0,5,5,0.02516,0.2,0.2,0.6,2.3219,5,169.21,936.0,66.34,1.0,False
Node012,0,5,3,0.00083,0.4,0.0,0.6,1.5219,5,47.6,1238.6,60.58,1.0,False
Node012,4,1,4,0.00042,0.4,0.0,0.4,1.9219,5,154.88,944.2,82.68,1.0,False
Node005_Sybil00,2,3,3,0.02755,0.4,0.4,0.0,1.5219,5,60.11,1575.2,60.84,1.0,True
Node042,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,224.09,707.6,74.88,1.0,False
Node042,0,5,3,0.00158,0.4,0.4,0.2,1.5219,5,21.62,1492.8,52.53,1.0,False
Node032,0,5,4,0.02729,0.4,0.2,0.2,1.9219,5,18.07,1283.2,54.61,1.0,False
Node022,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,145.14,1134.6,79.82,1.0,False
Node005_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,31.6,1304.6,57.52,1.0,True
Node002,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,197.9,1003.2,83.0,1.0,False
Node018_Sybil01,0,5,4,0.02894,0.4,0.2,0.6,1.9219,5,96.94,993.4,61.1,1.0,True
Node048_Sybil01,5,0,2,0.0,0.8,0.0,0.0,0.7219,5,27.82,991.2,41.12,1.0,True
Node038_Sybil01,4,1,3,0.0008,0.6,0.0,0.2,1.371,5,22.74,1240.6,54.02,1.0,True
Node048_Sybil01,3,2,3,0.0,0.4,0.0,0.2,1.5219,5,36.12,1263.8,59.35,1.0,True
Node012,1,4,4,0.00074,0.4,0.0,0.4,1.9219,5,117.88,1056.4,65.28,1.0,False
Node032,4,1,5,0.0,0.2,0.0,0.2,2.3219,4,183.77,688.4,70.75,1.0,False
Node002,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,183.12,1438.6,90.67,1.0,False
Node025_Sybil00,0,5,3,0.02696,0.6,0.2,0.0,1.371,5,90.24,805.4,64.58,1.0,True
Node045_Sybil00,3,2,2,0.0,0.8,0.8,0.2,0.7219,5,24.67,1137.2,51.66,1.0,True
Node022,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,220.32,753.4,82.66,1.0,False
Node042,0,5,3,0.0,0.6,0.2,0.0,1.371,5,78.13,1172.0,68.1,1.0,False
Node022,1,4,4,0.00049,0.4,0.6,0.4,1.9219,5,52.92,1399.2,45.73,1.0,False
