node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node002,8,0,8,30,16,14,6,11.0,False
Node002,8,0,8,30,12,18,4,11.0,False
Node002,8,0,8,30,16,14,4,11.0,False
Node002,8,0,8,30,14,16,4,11.0,False
Node002,8,0,8,30,15,15,6,11.0,False
Node002,2,0,2,3,1,2,4,0.0,False
Node002,0,0,0,5,3,2,4,0.0,False
Node002,1,0,1,4,4,0,4,0.0,False
Node002,1,0,1,4,0,4,5,0.00044,False
Node002,2,0,2,3,3,0,4,0.0,False
Node002,2,0,2,3,1,2,5,0.00041,False
Node002,0,0,0,5,2,3,4,0.00042,False
