node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node011,3,2,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node011,5,0,3,0.0,0.4,0.0,0.4,1.5219,5,False
Node011,2,3,5,0.0,0.2,0.2,0.4,2.3219,3,False
Node011,0,5,5,0.00044,0.2,0.2,0.6,2.3219,3,False
Node011,0,5,5,0.0005,0.2,0.2,0.4,2.3219,5,False
Node011,4,1,3,0.02361,0.4,0.6,0.4,1.5219,4,False
Node011,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,False
Node011,1,4,5,0.00043,0.2,0.2,0.4,2.3219,4,False
Node011,0,5,5,0.00069,0.2,0.2,0.4,2.3219,5,False
Node011,5,0,5,0.0,0.2,0.2,0.4,2.3219,4,False
Node011,5,0,5,0.0,0.2,0.4,0.0,2.3219,5,False
Node011,0,5,5,0.00044,0.2,0.2,0.6,2.3219,5,False
Node011,0,5,4,0.00043,0.4,0.0,0.4,1.9219,5,False
Node011,0,5,5,0.02521,0.2,0.2,0.2,2.3219,5,False
Node011,3,2,3,0.0,0.6,0.0,0.0,1.371,5,False
Node011,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,False
Node011,2,3,4,0.0006,0.4,0.0,0.0,1.9219,5,False
Node011,0,5,5,0.00143,0.2,0.2,0.4,2.3219,4,False
Node011,1,4,3,0.02328,0.6,0.0,0.2,1.371,4,False
Node011,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,False
Node011,4,1,5,0.00047,0.2,0.2,0.0,2.3219,5,False
Node011,0,5,5,0.00044,0.2,0.2,0.0,2.3219,5,False
