node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node000,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,184.88,1387.6,80.64,1.0,0.2,113.9063,1.0,honest
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,234.06,1090.4,77.42,1.0,0.2,145.8552,1.0,honest
Node000,0,5,3,0.00041,0.6,0.6,0.0,1.371,5,95.29,986.8,49.26,1.0,0.2,524.8225,1.0,honest
Node000,0,5,3,0.00722,0.6,0.2,0.6,1.371,5,47.48,1034.4,51.16,1.0,0.0,277.582,1.0,honest
Node000,1,4,5,0.02334,0.2,0.0,0.4,2.3219,4,172.17,1221.2,65.85,1.0,0.0,144.1738,0.8,honest
Node000,5,0,5,0.00043,0.2,0.4,0.0,2.3219,4,231.15,822.4,78.74,1.0,0.2,81.3948,0.8,honest
Node000,4,1,4,0.0024,0.4,0.0,0.2,1.9219,5,189.03,1049.2,76.85,1.0,0.4,200.6246,1.0,honest
Node000,0,5,5,0.00176,0.2,0.2,0.2,2.3219,5,78.38,1123.0,37.29,1.0,0.2,388.4255,1.0,honest
Node000,1,4,5,0.02257,0.2,0.0,0.4,2.3219,5,179.99,1051.4,76.6,1.0,0.2,149.2006,1.0,honest
Node000,5,0,3,0.0,0.6,0.0,0.0,1.371,5,242.97,1760.4,83.27,1.0,0.6,143.1143,1.0,honest
Node000,4,1,5,0.00043,0.2,0.4,0.2,2.3219,5,169.53,723.6,73.42,1.0,0.0,107.2688,1.0,honest
Node000,0,5,4,0.00097,0.4,0.4,0.2,1.9219,5,61.4,973.6,51.24,1.0,0.0,716.2086,1.0,honest
Node000,2,3,3,0.02875,0.6,0.0,0.2,1.371,5,171.12,1169.6,78.77,1.0,0.2,119.6492,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,216.77,1240.0,82.53,1.0,0.2,202.2041,1.0,honest
Node000,3,2,5,0.00144,0.2,0.2,0.6,2.3219,5,133.95,990.4,69.62,1.0,0.2,379.3417,1.0,honest
Node000,0,5,5,0.0005,0.2,0.0,0.4,2.3219,5,114.0,924.0,58.83,1.0,0.2,527.9906,1.0,honest
Node000,2,3,2,0.02685,0.8,0.8,0.0,0.7219,5,104.5,1727.6,63.04,1.0,0.0,277.5652,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,199.28,1123.2,78.98,1.0,0.4,78.0167,1.0,honest
Node000,3,2,4,0.0035,0.4,0.0,0.6,1.9219,5,98.05,1364.4,57.64,1.0,0.0,1302.4622,1.0,honest
Node000,0,5,4,0.00083,0.4,0.4,0.2,1.9219,5,99.74,1183.6,55.9,1.0,0.2,411.5215,1.0,honest
Node000,1,4,5,0.02772,0.2,0.2,0.4,2.3219,5,39.5,1433.0,52.76,1.0,0.0,841.9669,1.0,honest
Node000,5,0,4,0.00038,0.4,0.4,0.0,1.9219,5,155.99,1348.0,86.2,1.0,0.2,29.8153,1.0,honest
Node000,4,1,5,0.0013,0.2,0.4,0.0,2.3219,5,164.57,997.0,76.0,1.0,0.4,491.0699,1.0,honest
Node000,0,5,5,0.00127,0.2,0.6,0.2,2.3219,5,51.37,1455.6,41.5,1.0,0.0,621.8039,1.0,honest
Node000,2,3,4,0.02224,0.4,0.4,0.4,1.9219,5,142.4,902.2,61.6,1.0,0.4,1011.2927,1.0,honest
Node000,5,0,5,0.00022,0.2,0.2,0.2,2.3219,5,238.83,1244.2,76.8,1.0,0.6,132.7544,1.0,honest
Node000,3,2,5,0.00251,0.2,0.4,0.2,2.3219,5,174.68,1319.8,70.65,1.0,0.4,205.5557,1.0,honest
Node000,0,5,5,0.0015,0.2,0.2,0.4,2.3219,5,147.98,1417.4,62.22,1.0,0.2,496.4903,1.0,honest
Node000,2,3,4,0.02593,0.4,0.8,0.0,1.9219,4,99.06,1177.0,59.21,1.0,0.0,1032.7252,0.8,honest
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,174.3,654.8,76.06,1.0,0.2,133.9457,1.0,honest
Node000,3,2,5,0.00168,0.2,0.2,0.2,2.3219,4,172.59,1558.2,80.82,1.0,0.0,65.95,0.8,honest
Node000,0,5,5,0.00028,0.2,0.4,0.0,2.3219,5,76.81,1264.0,49.09,1.0,0.2,754.4645,1.0,honest
Node000,0,5,4,0.00045,0.4,0.2,0.0,1.9219,5,113.31,1347.8,55.88,1.0,0.2,1188.5257,1.0,honest
Node000,3,2,4,0.02318,0.4,0.0,0.0,1.9219,5,179.16,1529.6,78.77,1.0,0.4,220.6474,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,234.95,1363.4,82.48,1.0,0.4,153.8874,1.0,honest
Node000,2,3,5,0.00359,0.2,0.0,0.4,2.3219,5,105.16,1304.2,44.76,1.0,0.2,842.5019,1.0,honest
Node000,0,5,5,0.00222,0.2,0.2,0.4,2.3219,4,35.56,899.2,41.97,1.0,0.0,528.5933,0.8,honest
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,232.38,1470.2,82.54,1.0,0.4,133.0546,1.0,honest
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,176.89,1185.0,84.82,1.0,0.2,88.1203,1.0,honest
