node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,severity
Node000,3,0,3,0.0005,0.3333,0.0,0.3333,1.585,3,302.38,1278.67,96.87,1.0,1.0,1.8847,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.0,1.585,3,299.56,1112.33,96.85,1.0,0.6667,1.3212,1.0,honest
Node000,3,0,3,0.0,0.3333,0.6667,0.0,1.585,3,173.11,1771.33,97.52,1.0,0.0,1.6584,1.0,honest
Node000,1,2,3,0.00251,0.3333,0.3333,0.3333,1.585,3,112.75,1728.67,60.23,1.0,0.0,760.1705,1.0,honest
Node000,0,3,3,0.00049,0.3333,0.3333,0.0,1.585,3,234.42,1145.33,67.02,1.0,0.6667,1980.917,1.0,honest
Node000,0,3,2,0.00501,0.6667,0.6667,0.0,0.9183,3,53.81,1308.67,37.34,1.0,0.0,1921.8114,1.0,honest
Node000,0,3,1,0.00225,1.0,1.0,0.0,0.0,3,123.39,1115.33,36.21,1.0,0.3333,1989.4383,1.0,honest
Node000,1,2,3,0.02499,0.3333,0.6667,0.0,1.585,3,103.03,1349.0,51.67,1.0,0.0,1437.3358,1.0,honest
Node000,3,0,3,0.0,0.3333,0.3333,0.0,1.585,3,227.73,1335.67,96.98,1.0,0.3333,0.9446,1.0,honest
Node000,3,0,2,0.0,0.6667,0.6667,0.0,0.9183,3,347.32,375.67,97.59,1.0,1.0,3.4136,1.0,honest
Node000,3,0,2,0.0,0.6667,0.0,0.0,0.9183,3,346.91,1382.67,97.56,1.0,1.0,2.7329,1.0,honest
Node000,0,3,3,0.001,0.3333,0.3333,0.0,1.585,3,193.79,427.0,67.33,1.0,0.3333,433.1847,1.0,honest
Node000,0,3,3,2e-05,0.3333,0.3333,0.3333,1.585,3,71.66,1026.33,39.54,1.0,0.0,511.2844,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.0,1.585,3,318.46,1273.0,97.57,1.0,1.0,1.3685,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.6667,1.585,3,263.61,1688.67,98.53,1.0,0.3333,0.426,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.3333,1.585,3,290.23,1021.0,97.01,1.0,0.6667,0.2406,1.0,honest
Node000,1,2,3,0.00038,0.3333,0.3333,0.3333,1.585,3,120.46,949.0,44.13,1.0,0.3333,1401.7847,1.0,honest
Node000,0,3,2,0.0015,0.6667,1.0,0.0,0.9183,3,173.57,1322.0,63.7,1.0,0.3333,615.9682,1.0,honest
Node000,0,3,2,0.00125,0.6667,0.6667,0.3333,0.9183,3,133.31,573.0,46.02,1.0,0.3333,1544.047,1.0,honest
Node000,1,2,3,0.02534,0.3333,0.3333,0.0,1.585,3,195.76,654.67,77.6,1.0,0.3333,900.2325,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.0,1.585,3,203.38,1068.0,97.97,1.0,0.3333,1.1321,1.0,honest
Node000,3,0,3,0.0,0.3333,0.3333,0.0,1.585,3,260.3,1614.33,96.45,1.0,0.3333,2.2144,1.0,honest
Node000,3,0,2,0.0,0.6667,0.0,0.0,0.9183,3,216.7,793.33,97.42,1.0,0.3333,3.1415,1.0,honest
Node000,0,3,3,0.00178,0.3333,0.3333,0.6667,1.585,3,231.66,862.0,84.24,1.0,0.6667,457.7948,1.0,honest
Node000,0,3,3,0.00391,0.3333,0.3333,0.3333,1.585,3,90.16,1379.0,50.97,1.0,0.0,1371.4755,1.0,honest
Node000,0,3,2,0.0005,0.6667,0.6667,0.0,0.9183,3,37.92,1169.67,23.49,1.0,0.0,407.7038,1.0,honest
Node000,2,1,3,0.02938,0.3333,0.3333,0.0,1.585,3,228.42,709.0,97.23,1.0,0.3333,1.8498,1.0,honest
Node000,3,0,3,0.0,0.3333,0.3333,0.0,1.585,3,278.25,1292.67,96.73,1.0,0.6667,1.3953,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.3333,1.585,3,300.43,458.67,98.22,1.0,0.6667,1.9926,1.0,honest
Node000,2,1,3,0.0015,0.3333,0.0,0.0,1.585,3,180.99,540.0,66.73,1.0,0.3333,1687.4945,1.0,honest
Node000,0,3,3,0.00125,0.3333,0.6667,0.0,1.585,3,55.8,1028.0,37.43,1.0,0.0,587.3964,1.0,honest
Node000,0,3,3,0.00558,0.3333,0.3333,0.0,1.585,3,156.7,1178.0,55.51,1.0,0.3333,1359.1508,1.0,honest
Node000,2,1,3,0.03449,0.3333,0.6667,0.3333,1.585,3,200.08,1211.67,82.81,1.0,0.6667,494.3402,1.0,honest
Node000,3,0,2,0.0,0.6667,0.6667,0.3333,0.9183,3,269.32,918.33,95.65,1.0,1.0,0.1324,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.3333,1.585,3,210.47,1341.33,97.17,1.0,0.0,0.0926,1.0,honest
Node000,2,1,3,0.00629,0.3333,0.0,0.3333,1.585,3,261.22,949.33,97.3,1.0,0.6667,1.1324,1.0,honest
Node000,0,3,3,0.0008,0.3333,0.0,1.0,1.585,3,254.9,1100.0,79.81,1.0,0.6667,686.7037,1.0,honest
Node000,0,3,3,1e-05,0.3333,0.6667,0.3333,1.585,3,269.7,1396.67,75.16,1.0,0.6667,985.1777,1.0,honest
Node000,1,2,2,0.03207,0.6667,0.6667,0.0,0.9183,2,113.63,815.33,45.25,1.0,0.3333,1390.1109,0.6667,honest
Node000,3,0,3,0.0,0.3333,0.0,0.3333,1.585,3,245.26,1301.67,96.13,1.0,0.6667,0.3256,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.3333,1.585,3,360.09,898.67,97.4,1.0,1.0,3.8709,1.0,honest
Node000,3,0,3,0.0,0.3333,0.3333,0.3333,1.585,3,277.28,936.33,98.18,1.0,0.6667,1.0727,1.0,honest
Node000,0,3,3,0.0005,0.3333,0.6667,0.0,1.585,3,94.09,845.0,37.08,1.0,0.3333,1689.4595,1.0,honest
Node000,0,3,3,0.00276,0.3333,0.3333,0.0,1.585,3,36.14,1193.0,20.57,1.0,0.0,268.7862,1.0,honest
Node000,0,3,2,0.00261,0.6667,0.6667,0.3333,0.9183,3,40.85,858.67,19.99,1.0,0.0,363.7843,1.0,honest
Node000,3,0,3,0.0,0.3333,0.3333,0.0,1.585,3,293.24,1255.0,97.62,1.0,0.6667,2.2271,1.0,honest
Node000,3,0,3,0.0,0.3333,0.3333,0.0,1.585,3,267.18,1379.0,96.76,1.0,0.6667,0.6966,1.0,honest
Node000,3,0,3,0.0,0.3333,0.0,0.0,1.585,3,235.67,1123.67,95.98,1.0,0.3333,0.0051,1.0,honest
Node000,1,2,3,0.00073,0.3333,0.3333,0.3333,1.585,3,174.14,1320.33,76.57,1.0,0.0,964.3247,1.0,honest
Node000,0,3,2,0.0,0.6667,0.6667,0.3333,0.9183,3,27.77,1091.33,14.12,1.0,0.0,187.6199,1.0,honest
