node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node031,1,4,5,0.00044,0.2,0.2,0.0,2.3219,5,False
Node031,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node031,4,1,4,0.0,0.4,0.0,0.6,1.9219,5,False
Node031,0,5,4,0.00044,0.4,0.6,0.0,1.9219,5,False
Node031,0,5,3,0.00043,0.4,0.0,0.8,1.5219,3,False
Node031,0,5,3,0.00043,0.6,0.6,0.0,1.371,5,False
Node031,2,3,5,0.00042,0.2,0.2,0.2,2.3219,5,False
Node031,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node031,3,2,4,0.0,0.4,0.4,0.0,1.9219,4,False
Node031,0,5,5,0.00043,0.2,0.0,0.2,2.3219,5,False
Node031,0,5,4,0.02593,0.4,0.2,0.4,1.9219,5,False
Node031,0,5,5,0.00058,0.2,0.0,0.4,2.3219,5,False
Node031,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node031,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node031,0,5,5,0.00043,0.2,0.2,0.4,2.3219,4,False
Node031,0,5,4,0.02518,0.4,0.0,0.4,1.9219,5,False
Node031,5,0,4,0.0,0.4,0.0,0.6,1.9219,5,False
Node031,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node031,0,5,5,0.02247,0.2,0.4,0.2,2.3219,5,False
Node031,0,5,4,0.0,0.4,0.4,0.4,1.9219,3,False
Node031,0,5,4,0.00047,0.4,0.4,0.4,1.9219,5,False
Node031,2,3,4,0.00045,0.4,0.2,0.4,1.9219,5,False
Node031,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node031,3,2,4,0.00069,0.4,0.4,0.2,1.9219,5,False
Node031,0,5,4,0.00053,0.4,0.4,0.2,1.9219,4,False
