node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,severity
Node000,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,271.6,1279.2,98.73,1.0,0.6,0.7984,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,219.92,994.6,97.86,1.0,0.2,1.5838,1.0,honest
Node000,5,0,3,0.0,0.6,0.2,0.0,1.371,5,308.34,1142.0,97.67,1.0,1.0,2.2027,1.0,honest
Node000,0,5,5,0.00115,0.2,0.2,0.0,2.3219,5,159.3,640.4,52.42,1.0,0.4,1821.7025,1.0,honest
Node000,0,5,4,0.00147,0.4,0.6,0.0,1.9219,5,22.08,1148.8,12.71,1.0,0.0,125.7513,1.0,honest
Node000,0,5,5,0.00212,0.2,0.4,0.2,2.3219,5,171.35,1250.8,68.1,1.0,0.2,1496.2726,1.0,honest
Node000,2,3,4,0.03017,0.4,0.2,0.0,1.9219,5,197.86,1028.8,78.35,1.0,0.2,1388.4929,1.0,honest
Node000,5,0,4,0.0,0.4,0.4,0.6,1.9219,5,251.11,522.8,98.27,1.0,0.4,0.9572,1.0,honest
Node000,5,0,4,0.0,0.4,0.8,0.0,1.9219,5,268.98,1060.0,97.65,1.0,0.6,1.9684,1.0,honest
Node000,3,2,4,0.00409,0.4,0.2,0.2,1.9219,5,197.97,1045.8,79.58,1.0,0.2,1330.3192,1.0,honest
Node000,0,5,4,0.00272,0.4,0.2,0.4,1.9219,5,82.13,1212.6,43.2,1.0,0.0,332.1895,1.0,honest
Node000,0,5,4,0.00288,0.4,0.4,0.2,1.9219,5,173.03,686.0,63.91,1.0,0.2,776.2927,1.0,honest
Node000,3,2,5,0.02614,0.2,0.2,0.2,2.3219,5,278.63,1270.6,96.63,1.0,0.8,2.5289,1.0,honest
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,251.04,983.6,96.24,1.0,0.6,2.3378,1.0,honest
Node000,5,0,4,0.00038,0.4,0.4,0.2,1.9219,5,311.49,1368.4,97.09,1.0,0.8,1.35,1.0,honest
Node000,2,3,5,0.00349,0.2,0.2,0.4,2.3219,5,198.12,1031.4,69.31,1.0,0.2,1382.4075,1.0,honest
Node000,0,5,4,0.00434,0.4,0.6,0.2,1.9219,5,94.35,908.0,41.7,1.0,0.2,1141.1327,1.0,honest
Node000,2,3,5,0.02664,0.2,0.4,0.0,2.3219,5,164.3,835.8,76.56,1.0,0.2,620.9035,1.0,honest
Node000,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,291.88,1145.4,96.54,1.0,0.8,1.0801,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,247.17,1552.8,97.79,1.0,0.4,1.9385,1.0,honest
Node000,3,2,4,0.00224,0.4,0.4,0.2,1.9219,5,145.22,1243.2,62.32,1.0,0.2,2009.7834,1.0,honest
Node000,0,5,5,0.00149,0.2,0.4,0.4,2.3219,5,188.21,1129.0,56.95,1.0,0.4,1194.6738,1.0,honest
