Run directory: logs/DL\run_25-05-19_12-52-49
Epoch 001/100 | Train L 0.3971 A 0.8151 | Val   L 0.2841 A 0.8740 | LR 0.005000
Epoch 002/100 | Train L 0.2482 A 0.8846 | Val   L 0.2307 A 0.8894 | LR 0.005000
Epoch 003/100 | Train L 0.2387 A 0.8872 | Val   L 0.2197 A 0.8904 | LR 0.005000
Epoch 004/100 | Train L 0.2180 A 0.8970 | Val   L 0.2392 A 0.8859 | LR 0.005000
Epoch 005/100 | Train L 0.2204 A 0.8934 | Val   L 0.2129 A 0.8956 | LR 0.005000
Epoch 006/100 | Train L 0.2096 A 0.8977 | Val   L 0.2085 A 0.8978 | LR 0.005000
Epoch 007/100 | Train L 0.2199 A 0.8964 | Val   L 0.2163 A 0.8981 | LR 0.005000
Epoch 008/100 | Train L 0.2235 A 0.8899 | Val   L 0.2028 A 0.9011 | LR 0.005000
Epoch 009/100 | Train L 0.2076 A 0.8987 | Val   L 0.1972 A 0.8991 | LR 0.005000
Epoch 010/100 | Train L 0.2007 A 0.8990 | Val   L 0.2087 A 0.8946 | LR 0.005000
Epoch 011/100 | Train L 0.2103 A 0.8982 | Val   L 0.1962 A 0.8983 | LR 0.005000
Epoch 012/100 | Train L 0.2004 A 0.9006 | Val   L 0.2100 A 0.8964 | LR 0.005000
Epoch 013/100 | Train L 0.1922 A 0.9032 | Val   L 0.1999 A 0.8986 | LR 0.005000
Epoch 014/100 | Train L 0.1938 A 0.9031 | Val   L 0.1953 A 0.8976 | LR 0.005000
Epoch 015/100 | Train L 0.1977 A 0.9007 | Val   L 0.2019 A 0.8961 | LR 0.005000
Epoch 016/100 | Train L 0.1941 A 0.9030 | Val   L 0.1940 A 0.8981 | LR 0.005000
Epoch 017/100 | Train L 0.1900 A 0.9023 | Val   L 0.1956 A 0.9028 | LR 0.005000
Epoch 018/100 | Train L 0.1841 A 0.9067 | Val   L 0.1960 A 0.8988 | LR 0.005000
Epoch 019/100 | Train L 0.1861 A 0.9054 | Val   L 0.1950 A 0.9006 | LR 0.005000
Epoch 020/100 | Train L 0.1898 A 0.9051 | Val   L 0.1958 A 0.8969 | LR 0.005000
Epoch 021/100 | Train L 0.1864 A 0.9063 | Val   L 0.2062 A 0.9008 | LR 0.005000
Epoch 022/100 | Train L 0.1863 A 0.9058 | Val   L 0.1961 A 0.9006 | LR 0.005000
Epoch 023/100 | Train L 0.1810 A 0.9089 | Val   L 0.1991 A 0.8981 | LR 0.002000
Epoch 024/100 | Train L 0.1690 A 0.9148 | Val   L 0.1907 A 0.9033 | LR 0.002000
Epoch 025/100 | Train L 0.1700 A 0.9146 | Val   L 0.1976 A 0.8996 | LR 0.002000
Epoch 026/100 | Train L 0.1645 A 0.9158 | Val   L 0.1924 A 0.8978 | LR 0.002000
Epoch 027/100 | Train L 0.1659 A 0.9164 | Val   L 0.2008 A 0.8951 | LR 0.002000
