node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node000,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node000,5,0,3,0.0,0.6,0.6,0.0,1.371,5,False
Node000,1,4,3,0.0311,0.6,0.2,0.6,1.371,5,False
Node000,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,False
Node000,4,1,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node000,0,5,4,0.00092,0.4,0.2,0.4,1.9219,5,False
Node000,2,3,4,0.0247,0.4,0.0,0.4,1.9219,4,False
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node000,3,2,5,0.00044,0.2,0.2,0.4,2.3219,4,False
Node000,2,3,5,0.02492,0.2,0.2,0.2,2.3219,5,False
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node000,3,2,4,0.00043,0.4,0.2,0.2,1.9219,5,False
Node000,1,4,5,0.02537,0.2,0.2,0.4,2.3219,4,False
Node000,5,0,3,0.0,0.4,0.0,0.4,1.5219,5,False
Node000,4,1,4,0.00044,0.4,0.2,0.6,1.9219,5,False
Node000,0,5,4,0.00083,0.4,0.0,0.4,1.9219,4,False
Node008_Sybil01,0,5,4,0.0005,0.4,0.2,0.4,1.9219,5,True
Node008_Sybil01,0,5,4,0.0,0.4,0.0,0.8,1.9219,4,True
Node008_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,4,True
Node008_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node008_Sybil01,0,5,3,0.00089,0.4,0.4,0.6,1.5219,5,True
Node008_Sybil01,0,5,2,0.0005,0.6,0.4,0.6,0.971,4,True
Node008_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node008_Sybil01,5,0,1,0.00044,1.0,1.0,0.0,0.0,5,True
Node008_Sybil01,0,5,3,0.02456,0.4,0.4,0.6,1.5219,4,True
Node008_Sybil01,3,2,2,0.00053,0.8,0.8,0.0,0.7219,5,True
Node008_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,4,True
Node008_Sybil01,2,3,4,0.0,0.4,0.4,0.2,1.9219,5,True
Node008_Sybil01,0,5,3,0.02508,0.4,0.0,0.6,1.5219,4,True
Node008_Sybil01,0,5,3,0.00042,0.6,0.8,0.0,1.371,4,True
Node008_Sybil01,4,1,1,0.0,1.0,1.0,0.0,0.0,5,True
Node008_Sybil01,5,0,1,0.0004,1.0,1.0,0.0,0.0,5,True
Node008_Sybil01,1,4,4,0.02714,0.4,0.4,0.2,1.9219,5,True
Node008_Sybil01,1,4,5,0.00498,0.2,0.2,0.6,2.3219,5,True
Node008_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,2,3,3,0.0,0.6,0.6,0.2,1.371,5,True
Node001_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,3,2,3,0.00043,0.6,0.6,0.2,1.371,5,True
Node001_Sybil03,0,5,4,0.00043,0.4,0.2,0.4,1.9219,5,True
Node001_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,0,5,4,0.00045,0.4,0.2,0.4,1.9219,5,True
Node001_Sybil03,2,3,3,0.02486,0.6,0.6,0.2,1.371,5,True
Node001_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,3,2,3,0.0,0.6,0.6,0.2,1.371,5,True
Node001_Sybil03,1,4,4,0.02478,0.4,0.4,0.4,1.9219,5,True
Node001_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,4,1,2,0.0,0.8,0.8,0.2,0.7219,4,True
Node001_Sybil03,0,5,3,0.00089,0.6,0.0,0.8,1.371,5,True
Node001_Sybil03,0,5,5,0.00048,0.2,0.2,0.4,2.3219,5,True
Node001_Sybil03,4,1,2,0.02629,0.8,0.8,0.0,0.7219,5,True
Node001_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node001_Sybil03,1,4,4,0.00052,0.4,0.4,0.2,1.9219,5,True
Node002_Sybil03,3,2,3,0.00043,0.6,0.0,0.8,1.371,5,True
Node002_Sybil03,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node002_Sybil03,2,3,3,0.00043,0.4,0.4,0.4,1.5219,3,True
Node002_Sybil03,0,5,4,0.0005,0.4,0.2,0.4,1.9219,5,True
Node002_Sybil03,4,1,3,0.00137,0.4,0.0,0.8,1.5219,5,True
Node002_Sybil03,5,0,2,0.0,0.8,0.0,1.0,0.7219,5,True
Node002_Sybil03,1,4,2,0.00045,0.6,0.0,0.4,0.971,4,True
Node002_Sybil03,0,5,5,0.02486,0.2,0.0,0.6,2.3219,5,True
Node002_Sybil03,3,2,4,0.0,0.4,0.2,0.6,1.9219,5,True
Node002_Sybil03,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node002_Sybil03,2,3,3,0.00042,0.4,0.4,0.6,1.5219,5,True
Node002_Sybil03,0,5,4,0.02535,0.4,0.2,0.6,1.9219,5,True
Node002_Sybil03,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node002_Sybil03,5,0,2,0.0,0.8,0.0,1.0,0.7219,5,True
Node002_Sybil03,0,5,5,0.00048,0.2,0.2,0.4,2.3219,5,True
Node002_Sybil03,1,4,3,0.02602,0.4,0.4,0.2,1.5219,5,True
Node002_Sybil03,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node002_Sybil03,4,1,3,0.00043,0.6,0.2,0.8,1.371,5,True
Node002_Sybil03,0,5,4,0.00047,0.4,0.2,0.6,1.9219,5,True
Node006_Sybil03,0,5,5,0.0,0.2,0.2,0.6,2.3219,5,True
Node006_Sybil03,0,5,4,0.00043,0.4,0.4,0.4,1.9219,4,True
Node006_Sybil03,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node006_Sybil03,5,0,1,0.00043,1.0,1.0,0.0,0.0,5,True
