node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,201.04,873.0,78.61,1.0,0.2,130.6222,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,172.87,1040.8,71.02,1.0,0.0,37.044,1.0,honest
Node000,0,5,3,0.00211,0.6,0.6,0.0,1.371,5,64.57,1381.6,54.04,1.0,0.0,751.243,1.0,honest
Node000,1,4,3,0.02533,0.6,0.6,0.2,1.371,5,109.51,1078.8,43.85,1.0,0.2,1054.6687,1.0,honest
Node000,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,208.55,1036.0,83.85,1.0,0.4,172.2559,1.0,honest
Node000,4,1,5,0.0,0.2,0.2,0.4,2.3219,5,168.62,1000.4,80.43,1.0,0.4,646.0355,1.0,honest
Node000,0,5,5,0.0015,0.2,0.2,0.2,2.3219,5,114.23,1203.2,51.43,1.0,0.2,321.1845,1.0,honest
Node000,2,3,4,0.025,0.4,0.4,0.4,1.9219,5,88.35,823.2,56.57,1.0,0.0,724.7546,1.0,honest
Node000,5,0,4,0.00039,0.4,0.0,0.0,1.9219,5,178.89,1072.6,77.39,1.0,0.2,115.3149,1.0,honest
Node000,3,2,5,0.00122,0.2,0.2,0.2,2.3219,5,149.42,1089.0,80.8,1.0,0.0,183.2696,1.0,honest
Node000,0,5,5,0.0018,0.2,0.2,0.4,2.3219,5,115.3,898.4,74.47,1.0,0.0,707.3858,1.0,honest
Node000,4,1,4,0.02639,0.4,0.0,0.6,1.9219,5,179.75,737.8,68.17,1.0,0.2,189.5386,1.0,honest
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,240.84,1364.8,81.99,1.0,0.4,68.7476,1.0,honest
Node000,1,4,4,0.00168,0.4,0.6,0.0,1.9219,3,56.86,1355.8,46.95,1.0,0.0,774.9297,0.6,honest
Node000,0,5,5,0.00081,0.2,0.2,0.4,2.3219,5,73.57,1383.8,40.13,1.0,0.0,661.5466,1.0,honest
Node000,3,2,4,0.02875,0.4,0.0,0.4,1.9219,5,154.9,948.2,73.44,1.0,0.2,563.6477,1.0,honest
Node000,5,0,5,0.0,0.2,0.4,0.0,2.3219,5,208.27,892.8,75.85,1.0,0.2,5.0764,1.0,honest
Node000,2,3,5,0.0006,0.2,0.2,0.2,2.3219,5,102.95,993.2,48.22,1.0,0.2,811.7899,1.0,honest
Node000,0,5,4,0.00108,0.4,0.4,0.0,1.9219,5,111.05,1073.0,67.47,1.0,0.0,615.8885,1.0,honest
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,4,197.98,1446.4,77.41,1.0,0.0,76.0515,0.8,honest
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,238.51,1273.2,74.56,1.0,0.6,160.602,1.0,honest
Node000,0,5,4,0.00129,0.4,0.6,0.4,1.9219,5,64.77,747.2,57.93,1.0,0.0,662.3255,1.0,honest
Node000,3,2,4,0.0241,0.4,0.0,0.6,1.9219,5,162.41,1392.2,75.52,1.0,0.2,33.6264,1.0,honest
Node000,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,243.6,1006.4,78.79,1.0,0.2,117.3145,1.0,honest
