node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node049,5,0,5,15,8,7,14,0.19298,False
Node022,4,0,4,16,8,8,11,0.15652,False
Node026,5,0,5,15,9,6,11,0.1556,False
Node043,9,0,9,11,7,4,10,0.20141,False
Sybil003,20,20,0,0,0,0,2,0.06003,True
Sybil003,18,18,0,2,2,0,3,0.04113,True
Sybil003,20,20,0,0,0,0,2,0.04175,True
Node005,6,0,6,14,7,7,10,0.23945,False
Node000,7,0,7,13,7,6,10,0.22611,False
Node003,7,0,7,13,9,4,11,0.25178,False
Node025,7,0,7,13,8,5,11,0.15692,False
Node021,10,0,10,10,7,3,12,0.18322,False
Node037,7,0,7,13,7,6,10,0.16603,False
Node004,6,0,6,14,9,5,13,0.20981,False
Node027,6,0,6,14,8,6,12,0.15101,False
Node047,8,0,8,12,8,4,10,0.22801,False
Node039,2,0,2,18,8,10,9,0.1906,False
Node008,5,0,5,15,10,5,11,0.23124,False
Node016,5,0,5,15,10,5,11,0.22871,False
Node044,3,0,3,17,12,5,8,0.21792,False
Node017,3,0,3,17,9,8,11,0.189,False
Node030,8,0,8,12,4,8,10,0.18086,False
Node032,8,0,8,12,8,4,10,0.17619,False
Node042,5,0,5,15,8,7,12,0.16688,False
Node042,6,0,6,14,9,5,10,0.18012,False
Node007,8,0,8,12,8,4,10,0.23112,False
Node006,6,0,6,14,11,3,13,0.20031,False
Node038,4,0,4,16,12,4,13,0.19144,False
Node034,3,0,3,17,10,7,11,0.18159,False
Node029,10,0,10,10,6,4,12,0.16185,False
Node028,4,0,4,16,9,7,12,0.21103,False
Sybil002,19,19,0,1,0,1,4,0.05267,True
Sybil002,20,20,0,0,0,0,3,0.05581,True
Sybil002,16,16,0,4,0,4,6,0.05385,True
Node014,6,0,6,14,9,5,11,0.18086,False
Node023,10,0,10,10,7,3,14,0.18666,False
Node010,3,0,3,17,12,5,12,0.24155,False
Node012,4,0,4,16,9,7,10,0.17412,False
Sybil009,19,19,0,1,0,1,3,0.04392,True
Sybil009,20,20,0,0,0,0,2,0.04693,True
Sybil009,19,19,0,1,1,0,2,0.05787,True
Node024,2,0,2,18,9,9,12,0.15425,False
Sybil007,19,19,0,1,0,1,4,0.07356,True
Sybil007,19,19,0,1,1,0,4,0.03114,True
Sybil007,19,19,0,1,0,1,3,0.04081,True
Node020,7,0,7,13,8,5,10,0.17856,False
Node036,5,0,5,15,8,7,12,0.18996,False
Node011,3,0,3,17,7,10,10,0.22081,False
Node045,2,0,2,18,10,8,10,0.21352,False
Node048,9,0,9,11,8,3,12,0.18394,False
Sybil005,18,18,0,2,1,1,4,0.05228,True
Sybil005,18,18,0,2,2,0,4,0.03776,True
Sybil005,20,20,0,0,0,0,3,0.07848,True
Sybil000,19,19,0,1,0,1,3,0.04544,True
Sybil000,19,19,0,1,1,0,3,0.04488,True
Sybil000,17,17,0,3,1,2,2,0.06326,True
Node002,3,0,3,17,9,8,10,0.27759,False
Node046,11,0,11,9,8,1,10,0.21999,False
Node035,7,0,7,13,8,5,11,0.19269,False
Node009,9,0,9,11,9,2,10,0.18627,False
Node013,4,0,4,16,11,5,11,0.20078,False
Sybil008,19,19,0,1,0,1,4,0.05071,True
Sybil008,19,19,0,1,0,1,4,0.0367,True
Sybil008,19,19,0,1,0,1,4,0.08778,True
Node033,5,0,5,15,11,4,12,0.20049,False
Node040,6,0,6,14,9,5,10,0.19316,False
Node041,4,0,4,16,10,6,11,0.19803,False
Sybil004,18,18,0,2,1,1,4,0.04146,True
Sybil004,19,19,0,1,0,1,4,0.04755,True
Sybil004,20,20,0,0,0,0,3,0.03519,True
Sybil001,20,20,0,0,0,0,3,0.02789,True
Sybil001,19,19,0,1,0,1,4,0.03208,True
Sybil001,19,19,0,1,0,1,4,0.04301,True
Node019,8,0,8,12,10,2,9,0.184,False
Node001,5,0,5,15,11,4,10,0.29314,False
Sybil006,20,20,0,0,0,0,2,0.05219,True
Sybil006,20,20,0,0,0,0,2,0.04085,True
Sybil006,19,19,0,1,0,1,3,0.06213,True
Node015,6,0,6,14,8,6,11,0.19732,False
Node018,4,0,4,16,9,7,12,0.19245,False
Node031,8,0,8,12,8,4,10,0.16134,False
