node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node022_Sybil01,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node022_Sybil01,5,0,2,0.0,0.8,0.0,1.0,0.7219,5,True
Node022_Sybil01,0,5,3,0.02735,0.6,0.6,0.0,1.371,5,True
Node022_Sybil01,0,5,4,0.00109,0.4,0.4,0.2,1.9219,5,True
Node022_Sybil01,4,1,3,0.00087,0.4,0.2,0.8,1.5219,5,True
Node022_Sybil01,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node022_Sybil01,1,4,3,0.00149,0.4,0.0,0.6,1.5219,5,True
Node022_Sybil01,0,5,3,0.02859,0.6,0.2,0.0,1.371,5,True
Node022_Sybil01,3,2,2,0.00351,0.6,0.0,1.0,0.971,5,True
Node022_Sybil01,5,0,1,0.0,1.0,0.0,1.0,0.0,5,True
Node022_Sybil01,2,3,5,0.02654,0.2,0.2,0.4,2.3219,5,True
Node022_Sybil01,3,2,4,0.00412,0.4,0.4,0.6,1.9219,5,True
Node022_Sybil01,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node022_Sybil01,2,3,4,0.00396,0.4,0.0,0.6,1.9219,5,True
Node022_Sybil01,1,4,4,0.03037,0.4,0.4,0.2,1.9219,5,True
Node022_Sybil01,5,0,2,0.0,0.6,0.0,1.0,0.971,4,True
Node022_Sybil01,4,1,2,0.0013,0.6,0.0,1.0,0.971,5,True
Node022_Sybil01,0,5,3,0.00158,0.4,0.2,0.4,1.5219,5,True
