node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node049,0,5,4,0.00175,0.4,0.2,0.6,1.9219,5,False
Node049,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,False
Node049,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,False
Node049,0,5,4,0.00084,0.4,0.2,0.2,1.9219,4,False
Node049,0,5,4,0.0048,0.4,0.4,0.2,1.9219,5,False
Node049,2,3,4,0.00381,0.4,0.0,0.2,1.9219,5,False
Node049,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node049,3,2,4,0.02655,0.4,0.2,0.6,1.9219,5,False
Node049,0,5,5,0.00148,0.2,0.2,0.4,2.3219,5,False
Node049,3,2,4,0.00506,0.4,0.4,0.0,1.9219,5,False
Node049,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node049,2,3,5,0.02709,0.2,0.4,0.4,2.3219,5,False
Node049,4,1,3,0.01137,0.6,0.2,0.2,1.371,5,False
Node049,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node049,1,4,5,0.02187,0.2,0.2,0.0,2.3219,5,False
Node049,1,4,4,0.0033,0.4,0.0,0.8,1.9219,4,False
Node049,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,False
