node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node033_Sybil01,0,5,4,0.02569,0.4,0.4,0.2,1.9219,5,True
Node042_Sybil00,1,4,4,0.02277,0.4,0.4,0.2,1.9219,5,True
Node033_Sybil01,0,5,4,0.00313,0.4,0.2,0.2,1.9219,5,True
Node048,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,False
Node033_Sybil01,5,0,2,0.0,0.6,0.0,1.0,0.971,5,True
Node000_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node028_Sybil00,0,5,3,0.0206,0.4,0.4,0.4,1.5219,5,True
Node000_Sybil00,0,5,5,0.01096,0.2,0.2,0.4,2.3219,5,True
Node041_Sybil01,0,5,5,0.00542,0.2,0.0,0.4,2.3219,4,True
Node048,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,False
Node007,3,2,5,0.05271,0.2,0.2,0.0,2.3219,5,False
Node000_Sybil00,2,3,4,0.02212,0.4,0.4,0.4,1.9219,5,True
Node047_Sybil01,0,5,3,0.00613,0.4,0.4,0.2,1.5219,5,True
Node028_Sybil00,0,5,3,0.00399,0.6,0.0,0.2,1.371,5,True
Node048,4,1,5,0.00207,0.2,0.2,0.2,2.3219,5,False
Node023_Sybil01,2,3,3,0.00858,0.4,0.4,0.2,1.5219,5,True
Node007,4,1,5,0.00073,0.2,0.2,0.4,2.3219,5,False
Node012,1,4,5,0.02696,0.2,0.4,0.4,2.3219,5,False
Node047_Sybil01,3,2,3,0.02429,0.6,0.2,0.0,1.371,5,True
Node041_Sybil01,0,5,4,0.02072,0.4,0.4,0.6,1.9219,5,True
Node015,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node042_Sybil00,3,2,3,0.00965,0.6,0.6,0.2,1.371,4,True
Node015,5,0,3,0.0,0.6,0.0,0.0,1.371,5,False
Node028_Sybil00,5,0,2,0.0,0.8,0.0,1.0,0.7219,5,True
Node048,4,1,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node035_Sybil00,0,5,3,0.00317,0.6,0.2,0.6,1.371,5,True
Node007,0,5,4,0.02629,0.4,0.6,0.4,1.9219,5,False
Node032_Sybil01,5,0,2,0.0,0.8,0.0,0.0,0.7219,5,True
Node007,5,0,3,0.0,0.4,0.4,0.2,1.5219,5,False
Node048,5,0,3,0.0,0.4,0.2,0.0,1.5219,5,False
Node048,0,5,2,0.01216,0.6,0.6,0.4,0.971,5,False
Node012,3,2,4,0.00423,0.4,0.4,0.0,1.9219,5,False
Node029,2,3,4,0.00282,0.4,0.4,0.4,1.9219,5,False
Node015,2,3,3,0.01447,0.6,0.0,0.2,1.371,5,False
Node042_Sybil00,4,1,2,0.0009,0.8,0.8,0.0,0.7219,5,True
Node028_Sybil00,3,2,3,0.00932,0.6,0.0,0.8,1.371,5,True
Node015,3,2,4,0.00759,0.4,0.4,0.4,1.9219,5,False
Node029,4,1,5,0.0,0.2,0.4,0.4,2.3219,5,False
Node012,5,0,5,0.0,0.2,0.0,0.6,2.3219,4,False
Node033_Sybil01,0,5,4,0.02681,0.4,0.4,0.6,1.9219,5,True
