node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,severity
Node000,7,0,6,0.0,0.2857,0.2857,0.1429,2.5216,6,284.04,1038.14,97.91,1.0,0.5714,1.6415,0.8571,honest
Node000,7,0,6,0.0,0.2857,0.1429,0.4286,2.5216,7,266.25,1136.71,96.27,1.0,0.4286,1.2713,1.0,honest
Node000,1,6,5,0.00582,0.4286,0.5714,0.1429,2.1281,7,211.37,1275.71,78.69,1.0,0.2857,1070.067,1.0,honest
Node000,0,7,6,0.00317,0.2857,0.4286,0.2857,2.5216,7,175.23,586.86,64.26,1.0,0.4286,1679.8291,1.0,honest
Node000,7,0,6,0.0,0.2857,0.1429,0.5714,2.5216,7,306.36,739.71,97.24,1.0,0.8571,1.4442,1.0,honest
Node000,7,0,6,0.0,0.2857,0.4286,0.2857,2.5216,7,279.32,881.57,97.17,1.0,0.4286,1.9364,1.0,honest
Node000,1,6,5,0.0061,0.4286,0.4286,0.2857,2.1281,7,129.91,989.71,57.14,1.0,0.1429,1565.7643,1.0,honest
Node000,0,7,5,0.00237,0.2857,0.5714,0.1429,2.2359,7,183.03,1370.14,70.85,1.0,0.2857,1169.8532,1.0,honest
Node000,6,1,6,0.02428,0.2857,0.5714,0.2857,2.5216,7,247.24,858.43,85.18,1.0,0.4286,1078.3591,1.0,honest
Node000,7,0,7,0.0004,0.1429,0.0,0.2857,2.8074,7,240.53,1312.57,97.08,1.0,0.2857,1.0506,1.0,honest
Node000,2,5,5,0.00433,0.2857,0.1429,0.0,2.2359,7,121.25,805.57,50.72,1.0,0.2857,1167.6865,1.0,honest
Node000,0,7,5,0.00537,0.4286,0.7143,0.1429,2.1281,7,119.7,1168.86,41.6,1.0,0.1429,1433.3839,1.0,honest
Node000,4,3,5,0.02165,0.2857,0.1429,0.4286,2.2359,6,166.26,1394.71,71.5,1.0,0.1429,1069.7189,0.8571,honest
Node000,7,0,6,0.0,0.2857,0.1429,0.1429,2.5216,7,303.71,905.57,98.21,1.0,0.7143,1.5866,1.0,honest
Node000,4,3,6,0.00667,0.2857,0.2857,0.4286,2.5216,7,202.03,1253.0,76.1,1.0,0.4286,1232.3285,1.0,honest
Node000,1,6,5,0.02079,0.2857,0.7143,0.1429,2.2359,7,202.6,1021.0,63.36,1.0,0.4286,1617.4426,1.0,honest
Node000,7,0,6,0.00034,0.2857,0.1429,0.2857,2.5216,7,268.95,993.71,97.61,1.0,0.5714,1.2409,1.0,honest
Node000,7,0,5,0.0,0.2857,0.0,0.0,2.2359,7,258.44,1491.14,95.92,1.0,0.4286,0.3152,1.0,honest
Node000,0,7,7,0.01059,0.1429,0.1429,0.2857,2.8074,6,135.06,992.43,58.45,1.0,0.1429,2058.5907,0.8571,honest
Node000,3,4,7,0.02265,0.1429,0.1429,0.1429,2.8074,7,167.54,1107.57,82.98,1.0,0.1429,588.5478,1.0,honest
Node000,7,0,5,0.0,0.2857,0.1429,0.0,2.2359,7,274.58,1026.14,96.62,1.0,0.5714,1.7549,1.0,honest
Node000,5,2,6,0.00408,0.2857,0.1429,0.2857,2.5216,7,220.58,1040.0,77.06,1.0,0.4286,1155.8738,1.0,honest
Node000,0,7,5,0.00368,0.4286,0.5714,0.0,2.1281,7,130.29,1138.71,49.04,1.0,0.1429,1313.9791,1.0,honest
Node000,0,7,6,0.00047,0.2857,0.2857,0.4286,2.5216,7,89.74,1112.86,50.8,1.0,0.0,573.2236,1.0,honest
Node000,6,1,5,0.0221,0.2857,0.2857,0.1429,2.2359,7,243.64,1135.14,90.12,1.0,0.4286,337.9176,1.0,honest
Node000,7,0,7,0.0,0.1429,0.2857,0.1429,2.8074,7,234.65,1364.57,96.59,1.0,0.2857,1.7371,1.0,honest
Node000,2,5,6,0.00185,0.2857,0.2857,0.1429,2.5216,7,108.77,1053.43,58.33,1.0,0.1429,2094.8948,1.0,honest
Node000,0,7,5,0.00481,0.2857,0.4286,0.2857,2.2359,7,56.98,1242.14,32.6,1.0,0.0,499.9691,1.0,honest
Node000,7,0,5,0.0,0.4286,0.1429,0.4286,2.1281,7,271.44,911.14,97.67,1.0,0.4286,1.1361,1.0,honest
Node000,7,0,6,0.0,0.2857,0.0,0.1429,2.5216,7,292.33,1635.71,97.22,1.0,0.7143,0.201,1.0,honest
Node000,1,6,5,0.00293,0.2857,0.1429,0.1429,2.2359,6,105.94,1084.14,47.09,1.0,0.1429,1490.065,0.8571,honest
Node000,0,7,6,0.00157,0.2857,0.2857,0.2857,2.5216,7,83.55,1449.71,30.48,1.0,0.1429,1012.7123,1.0,honest
Node000,1,6,6,0.02083,0.2857,0.4286,0.1429,2.5216,7,109.09,933.86,53.83,1.0,0.0,1746.2972,1.0,honest
Node000,7,0,5,0.00038,0.2857,0.1429,0.2857,2.2359,7,309.72,975.43,98.05,1.0,0.8571,2.7204,1.0,honest
Node000,7,0,7,0.0,0.1429,0.2857,0.2857,2.8074,7,301.18,893.14,97.48,1.0,0.5714,2.582,1.0,honest
Node000,0,7,5,0.00563,0.2857,0.2857,0.0,2.2359,7,108.79,1215.57,49.91,1.0,0.1429,1241.376,1.0,honest
Node000,1,6,7,0.02476,0.1429,0.4286,0.1429,2.8074,7,194.79,758.29,68.23,1.0,0.2857,1254.3729,1.0,honest
Node000,7,0,7,0.0,0.1429,0.2857,0.2857,2.8074,7,249.44,999.14,97.15,1.0,0.2857,1.5172,1.0,honest
Node000,7,0,5,0.0,0.2857,0.0,0.4286,2.2359,7,223.69,1115.14,97.21,1.0,0.4286,3.6577,1.0,honest
Node000,0,7,7,0.00473,0.1429,0.1429,0.1429,2.8074,7,138.22,913.57,56.84,1.0,0.2857,1457.6628,1.0,honest
Node000,0,7,6,0.00828,0.2857,0.1429,0.2857,2.5216,7,144.65,1628.57,59.94,1.0,0.1429,1450.7041,1.0,honest
Node000,7,0,5,0.00037,0.2857,0.2857,0.0,2.2359,7,239.05,773.14,97.55,1.0,0.2857,2.2695,1.0,honest
Node000,7,0,6,0.0,0.2857,0.0,0.2857,2.5216,7,250.53,1433.86,98.32,1.0,0.5714,1.7178,1.0,honest
Node000,1,6,5,0.00499,0.2857,0.2857,0.1429,2.2359,7,168.29,877.86,70.75,1.0,0.2857,1115.5539,1.0,honest
Node000,0,7,4,0.00745,0.5714,0.7143,0.0,1.6645,7,52.84,988.71,26.1,1.0,0.0,307.1913,1.0,honest
Node000,7,0,6,0.00048,0.2857,0.1429,0.2857,2.5216,7,309.0,996.0,95.95,1.0,0.8571,0.6879,1.0,honest
Node000,7,0,5,0.0,0.2857,0.0,0.2857,2.2359,7,277.19,1157.29,96.81,1.0,0.5714,2.4422,1.0,honest
Node000,1,6,5,0.00409,0.4286,0.1429,0.2857,2.1281,6,162.75,1330.0,56.5,1.0,0.2857,1522.9327,0.8571,honest
Node000,0,7,4,0.00224,0.4286,0.2857,0.1429,1.8424,7,148.01,920.86,58.11,1.0,0.1429,1485.2955,1.0,honest
Node000,0,7,5,0.00172,0.2857,0.1429,0.4286,2.2359,7,81.6,625.14,43.36,1.0,0.0,1480.9426,1.0,honest
Node000,6,1,6,0.02401,0.2857,0.1429,0.1429,2.5216,7,287.64,1179.57,89.61,1.0,0.7143,332.0695,1.0,honest
Node000,7,0,5,0.00038,0.2857,0.1429,0.1429,2.2359,7,264.24,1222.71,97.1,1.0,0.4286,2.3716,1.0,honest
Node000,2,5,6,0.00289,0.2857,0.2857,0.4286,2.5216,7,136.46,632.86,59.38,1.0,0.1429,1200.4322,1.0,honest
Node000,0,7,4,0.002,0.4286,0.4286,0.2857,1.8424,6,217.81,910.71,69.43,1.0,0.4286,1162.9905,0.8571,honest
Node000,2,5,5,0.02373,0.4286,0.5714,0.1429,2.1281,7,143.28,1231.14,58.79,1.0,0.1429,1291.9723,1.0,honest
Node000,7,0,6,0.0,0.2857,0.1429,0.1429,2.5216,7,292.1,1161.86,98.01,1.0,0.7143,0.6983,1.0,honest
Node000,6,1,5,0.00076,0.2857,0.2857,0.2857,2.2359,7,193.27,843.0,83.78,1.0,0.4286,1089.2049,1.0,honest
Node000,0,7,7,0.00313,0.1429,0.2857,0.1429,2.8074,7,165.88,1248.57,49.78,1.0,0.4286,1833.4433,1.0,honest
Node000,0,7,4,0.00984,0.4286,0.1429,0.1429,1.8424,7,123.32,1247.0,41.76,1.0,0.1429,1514.0907,1.0,honest
Node000,7,0,6,0.0,0.2857,0.4286,0.1429,2.5216,7,279.98,1159.71,96.42,1.0,0.7143,1.0891,1.0,honest
Node000,7,0,5,0.00037,0.2857,0.2857,0.2857,2.2359,7,261.21,1244.71,97.13,1.0,0.5714,2.2263,1.0,honest
Node000,1,6,6,0.00403,0.2857,0.4286,0.4286,2.5216,7,139.45,1010.29,46.64,1.0,0.2857,1245.1346,1.0,honest
Node000,0,7,4,0.00616,0.5714,0.7143,0.0,1.6645,7,169.37,699.29,58.14,1.0,0.4286,2072.1493,1.0,honest
Node097,0,7,7,0.00222,0.1429,0.2857,0.4286,2.8074,7,211.54,947.57,71.51,1.0,0.5714,1741.6945,1.0,honest
Node097,0,7,6,0.00247,0.2857,0.4286,0.1429,2.5216,7,108.34,1325.86,43.66,1.0,0.1429,802.4292,1.0,honest
Node097,0,7,6,0.00219,0.2857,0.1429,0.1429,2.5216,7,136.07,1214.0,58.38,1.0,0.2857,1456.3877,1.0,honest
Node097,5,2,6,0.00251,0.2857,0.1429,0.4286,2.5216,6,244.61,705.71,84.79,1.0,0.5714,964.4625,0.8571,honest
Node097,7,0,5,0.0,0.2857,0.2857,0.5714,2.2359,7,283.47,986.43,97.63,1.0,0.5714,2.2047,1.0,honest
Node097,3,4,5,0.02687,0.2857,0.5714,0.1429,2.2359,6,178.27,1040.43,67.46,1.0,0.4286,1296.9028,0.8571,honest
Node097,0,7,5,0.00495,0.2857,0.2857,0.2857,2.2359,7,128.94,996.14,65.48,1.0,0.1429,1043.9754,1.0,honest
Node097,6,1,6,0.00037,0.2857,0.1429,0.1429,2.5216,7,279.55,1169.57,97.49,1.0,0.7143,1.7947,1.0,honest
Node097,7,0,6,0.0,0.2857,0.2857,0.2857,2.5216,7,236.05,771.57,97.79,1.0,0.2857,0.9414,1.0,honest
Node097,2,5,7,0.02448,0.1429,0.2857,0.1429,2.8074,7,274.17,1155.71,89.91,1.0,0.7143,296.4985,1.0,honest
Node097,0,7,7,0.00729,0.1429,0.2857,0.1429,2.8074,7,42.92,1317.71,18.4,1.0,0.0,183.3272,1.0,honest
Node097,5,2,5,0.00197,0.2857,0.2857,0.5714,2.2359,7,220.47,917.43,76.18,1.0,0.4286,1171.8333,1.0,honest
Node097,7,0,6,0.0,0.2857,0.2857,0.2857,2.5216,7,333.1,797.43,97.53,1.0,0.8571,2.0685,1.0,honest
Node097,3,4,6,0.026,0.2857,0.1429,0.5714,2.5216,6,208.74,1045.86,78.33,1.0,0.2857,1116.7539,0.8571,honest
Node097,0,7,5,0.00159,0.2857,0.2857,0.4286,2.2359,7,189.42,1258.71,64.95,1.0,0.4286,1648.408,1.0,honest
Node097,0,7,6,0.00407,0.2857,0.2857,0.2857,2.5216,7,185.58,1195.86,70.78,1.0,0.4286,1751.8718,1.0,honest
Node097,7,0,7,0.0,0.1429,0.1429,0.4286,2.8074,7,245.32,1536.43,97.54,0.9999,0.5714,2.492,1.0,honest
Node097,7,0,5,0.0,0.4286,0.0,0.2857,2.1281,7,242.27,1319.29,97.91,1.0,0.5714,1.4259,1.0,honest
Node097,1,6,6,0.01997,0.2857,0.4286,0.0,2.5216,7,161.87,1228.29,52.22,1.0,0.4286,1771.0173,1.0,honest
Node097,4,3,5,0.0061,0.2857,0.0,0.5714,2.2359,6,260.1,1324.86,84.5,1.0,0.7143,1075.7331,0.8571,honest
Node097,7,0,7,0.0,0.1429,0.1429,0.2857,2.8074,7,327.5,843.43,97.31,1.0,1.0,1.5558,1.0,honest
Node097,4,3,5,0.02664,0.4286,0.1429,0.4286,2.1281,7,252.73,1098.14,84.18,1.0,0.7143,1092.5126,1.0,honest
Node097,0,7,7,0.01088,0.1429,0.2857,0.1429,2.8074,7,112.7,998.86,54.49,1.0,0.0,949.9949,1.0,honest
Node097,6,1,6,0.0,0.2857,0.2857,0.4286,2.5216,7,260.52,1368.29,90.94,1.0,0.7143,297.2326,1.0,honest
Node097,7,0,4,0.0,0.2857,0.2857,0.0,1.9502,7,263.65,1005.29,98.53,1.0,0.4286,1.6837,1.0,honest
Node097,2,5,6,0.02269,0.2857,0.2857,0.2857,2.5216,7,228.09,1338.71,89.06,1.0,0.7143,388.1231,1.0,honest
Node097,0,7,5,0.00094,0.2857,0.2857,0.7143,2.2359,7,175.2,1128.86,70.65,1.0,0.4286,1076.4862,1.0,honest
Node097,1,6,6,0.0051,0.2857,0.4286,0.0,2.5216,7,91.22,1301.0,44.9,1.0,0.0,1456.8576,1.0,honest
Node097,7,0,6,0.0,0.2857,0.0,0.4286,2.5216,7,323.7,1193.43,96.78,1.0,0.7143,1.6291,1.0,honest
Node097,7,0,6,0.0,0.2857,0.2857,0.1429,2.5216,7,284.39,1104.86,97.73,1.0,0.7143,2.7664,1.0,honest
Node097,0,7,5,0.00703,0.2857,0.4286,0.4286,2.2359,7,29.4,1119.57,19.62,1.0,0.0,1053.2097,1.0,honest
Node097,7,0,6,0.0,0.2857,0.4286,0.0,2.5216,6,265.89,1045.71,97.04,1.0,0.4286,0.81,0.8571,honest
Node097,7,0,5,0.0,0.2857,0.0,0.0,2.2359,7,230.35,1321.29,98.13,1.0,0.4286,1.1955,1.0,honest
Node097,1,6,5,0.02397,0.4286,0.4286,0.2857,2.1281,7,188.68,897.86,67.05,1.0,0.2857,1296.6554,1.0,honest
Node097,0,7,5,0.00207,0.2857,0.4286,0.2857,2.2359,7,84.36,1172.43,44.18,1.0,0.0,326.4366,1.0,honest
Node097,7,0,6,0.0,0.2857,0.2857,0.2857,2.5216,7,280.9,770.71,98.1,1.0,0.7143,1.1138,1.0,honest
