node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,severity
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,199.49,621.0,89.74,1.0,0.0,41.6995,1.0,honest
Node000,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,203.06,835.0,77.11,1.0,0.2,148.0464,1.0,honest
Node000,0,5,5,0.00246,0.2,0.6,0.2,2.3219,5,78.28,1386.6,55.5,1.0,0.0,823.4192,1.0,honest
Node000,0,5,5,0.01093,0.2,0.2,0.4,2.3219,5,118.77,1407.4,67.81,1.0,0.0,634.0295,1.0,honest
Node000,5,0,4,0.0004,0.4,0.2,0.4,1.9219,5,184.3,670.4,78.13,1.0,0.0,89.2733,1.0,honest
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,157.99,1073.8,81.85,1.0,0.0,209.681,1.0,honest
Node000,0,5,5,0.01446,0.2,0.4,0.0,2.3219,5,130.33,1398.2,75.07,1.0,0.2,496.2223,1.0,honest
Node000,1,4,4,0.03153,0.4,0.4,0.6,1.9219,5,90.35,1485.4,66.27,1.0,0.0,507.122,1.0,honest
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,200.8,861.6,80.05,1.0,0.4,219.3439,1.0,honest
Node000,4,1,5,0.01951,0.2,0.2,0.4,2.3219,5,134.69,783.8,76.18,1.0,0.0,191.1918,1.0,honest
Node000,2,3,5,0.06314,0.2,0.2,0.6,2.3219,5,65.58,831.0,54.68,1.0,0.0,735.7094,1.0,honest
Node000,5,0,3,0.0,0.4,0.4,0.0,1.5219,5,161.26,901.0,86.96,1.0,0.0,175.7316,1.0,honest
Node000,3,2,5,0.00756,0.2,0.2,0.4,2.3219,5,123.66,863.4,56.72,1.0,0.0,582.1383,1.0,honest
Node000,1,4,4,0.03053,0.4,0.2,0.0,1.9219,5,110.4,1092.6,68.22,1.0,0.0,311.8392,1.0,honest
Node000,5,0,5,0.00044,0.2,0.4,0.2,2.3219,5,210.1,1277.8,88.96,1.0,0.4,111.5886,1.0,honest
Node000,4,1,4,0.01066,0.4,0.2,0.0,1.9219,5,168.73,1296.0,72.73,1.0,0.2,59.0809,1.0,honest
Node000,0,5,5,0.01509,0.2,0.4,0.2,2.3219,5,182.25,733.6,81.63,1.0,0.2,647.3265,1.0,honest
Node000,0,5,5,0.00931,0.2,0.2,0.0,2.3219,5,86.46,1090.4,53.2,1.0,0.2,563.1147,1.0,honest
Node000,5,0,4,0.0,0.4,0.4,0.2,1.9219,5,143.59,1367.8,75.72,1.0,0.0,44.1496,1.0,honest
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,211.91,1373.2,83.19,1.0,0.4,78.2033,1.0,honest
Node000,0,5,5,0.02411,0.2,0.2,0.0,2.3219,5,116.96,1010.0,65.4,1.0,0.0,391.0072,1.0,honest
Node000,1,4,5,0.02739,0.2,0.2,0.2,2.3219,4,87.63,1106.6,59.34,1.0,0.0,409.137,0.8,honest
Node000,5,0,5,0.00043,0.2,0.4,0.2,2.3219,5,177.08,1182.4,71.04,1.0,0.0,52.6666,1.0,honest
Node000,4,1,4,0.00597,0.4,0.0,0.2,1.9219,5,218.77,1311.2,83.82,1.0,0.4,53.2158,1.0,honest
Node000,0,5,4,0.00815,0.4,0.2,0.2,1.9219,5,80.94,818.2,59.74,1.0,0.0,301.6548,1.0,honest
Node000,0,5,5,0.00347,0.2,0.2,0.0,2.3219,5,96.61,1153.4,58.24,1.0,0.0,362.5533,1.0,honest
Node000,4,1,4,0.03004,0.4,0.4,0.2,1.9219,5,194.79,966.4,76.87,1.0,0.6,800.9922,1.0,honest
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,201.31,1285.6,71.18,1.0,0.4,92.0219,1.0,honest
Node000,1,4,3,0.01408,0.4,0.4,0.0,1.5219,5,60.17,1249.0,68.5,1.0,0.0,531.1255,1.0,honest
Node000,0,5,4,0.03903,0.4,0.2,0.6,1.9219,5,151.32,961.2,63.07,1.0,0.2,750.1186,1.0,honest
Node000,4,1,4,0.02862,0.4,0.0,0.0,1.9219,5,173.77,1259.2,81.57,1.0,0.2,109.1975,1.0,honest
Node000,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,208.71,681.6,85.14,1.0,0.2,100.6346,1.0,honest
