node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,182.57,1008.4,83.24,1.0,0.2,28.5884,1.0,False
Node000,5,0,3,0.0,0.4,0.0,0.4,1.5219,5,223.91,1069.6,88.14,1.0,0.4,54.1212,1.0,False
Node000,0,5,2,0.00144,0.8,0.0,0.0,0.7219,5,50.95,1369.8,52.99,1.0,0.0,330.8291,1.0,False
Node000,4,1,3,0.0236,0.4,0.0,0.4,1.5219,5,133.38,1247.2,75.54,1.0,0.0,156.55,1.0,False
Node000,5,0,4,0.0,0.4,0.4,0.2,1.9219,5,185.74,839.6,77.49,1.0,0.2,73.4936,1.0,False
Node000,1,4,2,0.0035,0.6,0.0,0.0,0.971,5,57.68,791.8,43.86,1.0,0.0,126.5554,1.0,False
Node000,0,5,5,0.0,0.2,0.2,0.2,2.3219,5,174.1,1152.4,78.83,1.0,0.4,418.3952,1.0,False
Node000,4,1,4,0.02485,0.4,0.0,0.2,1.9219,5,191.01,1571.6,77.99,1.0,0.0,178.2529,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,226.47,1280.6,78.52,1.0,0.2,126.3325,1.0,False
Node000,1,4,4,0.00087,0.4,0.6,0.2,1.9219,4,51.97,938.0,60.06,1.0,0.0,324.0919,0.8,False
Node000,0,5,4,0.00087,0.4,0.6,0.0,1.9219,5,94.28,1112.6,59.45,1.0,0.2,213.4886,1.0,False
Node000,0,5,3,0.00084,0.4,0.0,0.0,1.5219,5,62.48,783.0,59.86,1.0,0.0,163.0707,1.0,False
Node000,1,4,4,0.02747,0.4,0.2,0.2,1.9219,5,140.28,985.6,62.7,1.0,0.2,392.7245,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,231.41,841.4,80.31,1.0,0.2,118.5815,1.0,False
Node000,4,1,5,0.00087,0.2,0.2,0.2,2.3219,5,167.96,1068.6,90.2,1.0,0.0,37.7501,1.0,False
Node000,0,5,5,0.00364,0.2,0.2,0.4,2.3219,5,94.98,1115.6,61.07,1.0,0.2,230.9268,1.0,False
Node000,0,5,3,0.00348,0.4,0.0,0.0,1.5219,5,42.6,735.6,56.66,1.0,0.0,368.6625,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,198.45,1261.4,76.4,1.0,0.2,141.425,1.0,False
Node000,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,188.46,1343.4,72.49,1.0,0.4,72.1433,1.0,False
Node000,0,5,5,0.00584,0.2,0.2,0.0,2.3219,5,84.3,1143.4,63.27,1.0,0.0,408.0013,1.0,False
Node000,3,2,4,0.03113,0.4,0.2,0.4,1.9219,5,163.48,1243.2,67.1,1.0,0.0,15.2883,1.0,False
Node000,5,0,4,0.0002,0.4,0.0,0.6,1.9219,4,207.66,1484.6,86.78,1.0,0.4,87.2641,0.8,False
Node000,2,3,4,0.00362,0.4,0.6,0.0,1.9219,5,164.48,1121.8,73.12,1.0,0.4,255.973,1.0,False
Node000,0,5,5,0.00538,0.2,0.2,0.0,2.3219,5,63.2,1308.6,54.89,1.0,0.0,308.4043,1.0,False
Node000,0,5,5,0.00361,0.2,0.4,0.0,2.3219,5,66.31,622.8,57.35,1.0,0.0,292.008,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,228.64,1007.6,80.95,1.0,0.6,162.4048,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,175.52,1203.8,90.14,1.0,0.0,68.9885,1.0,False
Node000,0,5,3,0.00472,0.4,0.0,0.2,1.5219,5,98.96,978.6,60.48,1.0,0.0,154.4323,1.0,False
Node000,1,4,4,0.0242,0.4,0.2,0.6,1.9219,5,114.28,993.6,74.43,1.0,0.0,82.7091,1.0,False
Node000,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,200.96,849.6,86.25,1.0,0.4,104.9486,1.0,False
Node000,4,1,4,0.00175,0.4,0.0,0.6,1.9219,5,179.33,1288.8,78.18,1.0,0.2,462.8699,1.0,False
Node000,0,5,4,0.00087,0.4,0.2,0.4,1.9219,3,181.81,939.6,71.38,1.0,0.2,115.759,0.6,False
Node000,0,5,5,0.0026,0.2,0.4,0.2,2.3219,5,88.61,1468.4,66.97,1.0,0.0,330.3484,1.0,False
Node000,4,1,5,0.0251,0.2,0.4,0.2,2.3219,5,148.12,1151.4,82.05,1.0,0.0,249.9859,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,224.02,1443.6,81.2,1.0,0.6,174.4075,1.0,False
Node000,1,4,5,0.00511,0.2,0.4,0.4,2.3219,5,133.5,1016.8,78.41,1.0,0.0,213.2685,1.0,False
Node000,2,3,4,0.02752,0.4,0.6,0.0,1.9219,5,89.38,1131.8,64.57,1.0,0.2,330.2279,1.0,False
Node000,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,197.06,1531.4,77.09,1.0,0.2,201.8374,1.0,False
