node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,severity
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,214.78,1195.6,89.58,1.0,0.4,158.3321,1.0,0
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,219.66,1082.0,77.48,1.0,0.2,29.7593,1.0,0
Node000,0,5,5,0.00158,0.2,0.2,0.4,2.3219,5,120.57,1050.8,78.55,1.0,0.0,156.7486,1.0,0
Node000,1,4,4,0.00914,0.4,0.4,0.0,1.9219,5,68.55,970.4,61.09,1.0,0.0,449.1304,1.0,5
Node000,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,207.34,1372.8,80.19,1.0,0.2,105.8195,1.0,0
Node000,4,1,4,0.00055,0.4,0.2,0.0,1.9219,5,197.75,1585.8,86.38,1.0,0.2,110.9111,1.0,0
Node000,0,5,3,0.00267,0.4,0.6,0.4,1.5219,5,145.3,1197.6,63.28,1.0,0.2,383.6803,1.0,0
Node000,0,5,4,0.00052,0.4,0.2,0.2,1.9219,5,42.9,1077.6,53.66,1.0,0.0,125.8866,1.0,8
Node000,4,1,5,0.01083,0.2,0.0,0.0,2.3219,5,160.17,874.4,75.68,1.0,0.2,139.2791,1.0,10
Node000,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,179.39,1363.6,73.06,1.0,0.2,90.3686,1.0,0
Node000,1,4,5,0.0012,0.2,0.2,0.0,2.3219,5,112.52,1148.6,68.74,1.0,0.0,768.3622,1.0,0
Node000,2,3,3,0.00957,0.6,0.2,0.0,1.371,5,95.23,666.8,57.07,1.0,0.2,339.8634,1.0,10
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,221.04,863.8,78.01,1.0,0.4,37.2881,1.0,0
Node000,3,2,4,0.00144,0.4,0.2,0.0,1.9219,5,221.64,1045.0,87.12,1.0,0.4,51.039,1.0,0
Node000,0,5,4,0.00269,0.4,0.4,0.0,1.9219,5,37.59,993.2,42.59,1.0,0.0,206.7878,1.0,3
Node000,3,2,3,0.00951,0.4,0.0,0.8,1.5219,5,137.23,1095.4,65.03,1.0,0.2,212.6507,1.0,10
Node000,5,0,3,0.0,0.4,0.2,0.0,1.5219,5,176.81,1422.6,83.62,1.0,0.2,159.4634,1.0,0
Node000,2,3,4,0.00272,0.4,0.0,0.4,1.9219,5,153.49,1109.6,95.56,1.0,0.0,1.7215,1.0,0
Node000,0,5,4,0.00104,0.4,0.6,0.0,1.9219,5,36.74,946.8,45.4,1.0,0.0,148.5968,1.0,3
Node000,4,1,3,0.01076,0.4,0.4,0.2,1.5219,5,164.51,1067.4,66.85,1.0,0.2,195.061,1.0,8
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,185.18,1056.4,71.72,1.0,0.4,34.2809,1.0,0
Node000,1,4,4,0.00193,0.4,0.4,0.0,1.9219,5,128.55,1038.8,62.44,1.0,0.0,379.4967,1.0,0
Node000,0,5,3,0.00256,0.6,0.4,0.0,1.371,5,45.13,1028.0,46.27,1.0,0.0,97.3334,1.0,3
Node000,2,3,5,0.01013,0.2,0.4,0.2,2.3219,5,97.24,1164.0,54.36,1.0,0.2,92.0538,1.0,10
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,182.62,1374.6,80.48,1.0,0.0,88.9112,1.0,0
Node000,3,2,5,0.00157,0.2,0.2,0.2,2.3219,5,244.98,887.4,73.93,1.0,0.6,110.8539,1.0,0
Node000,0,5,4,0.00134,0.4,0.0,0.4,1.9219,5,150.87,1164.4,60.8,1.0,0.4,657.7438,1.0,0
Node000,0,5,4,0.00074,0.4,0.4,0.4,1.9219,5,26.41,1137.6,45.96,1.0,0.0,21.9389,1.0,5
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,203.76,1123.2,70.74,1.0,0.2,34.7273,1.0,0
Node000,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,192.21,1092.6,75.99,1.0,0.2,46.4107,1.0,0
Node000,0,5,5,0.00144,0.2,0.0,0.2,2.3219,5,222.03,904.2,78.32,1.0,0.6,89.9487,1.0,0
Node000,1,4,2,0.01261,0.8,0.8,0.0,0.7219,5,66.92,1256.2,51.01,1.0,0.0,182.2876,1.0,5
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,170.39,1139.4,82.18,1.0,0.0,229.8287,1.0,0
Node000,4,1,5,0.00053,0.2,0.2,0.0,2.3219,5,187.36,971.4,68.38,1.0,0.2,70.6757,1.0,0
Node000,0,5,4,0.00288,0.4,0.4,0.4,1.9219,5,105.44,1061.8,58.07,1.0,0.0,429.4979,1.0,0
Node000,4,1,4,0.01189,0.4,0.4,0.2,1.9219,5,96.52,1031.6,80.01,1.0,0.0,95.9418,1.0,8
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,185.68,831.8,78.68,1.0,0.0,198.7777,1.0,0
Node000,1,4,3,0.00126,0.4,0.0,0.2,1.5219,5,180.24,1086.0,83.48,1.0,0.4,197.6003,1.0,0
Node000,0,5,4,0.00086,0.4,0.2,0.2,1.9219,4,164.88,937.4,61.72,1.0,0.2,503.5721,0.8,0
Node000,0,5,3,0.00174,0.6,0.8,0.2,1.371,5,28.6,1261.0,41.69,1.0,0.0,54.5827,1.0,5
Node000,2,3,4,0.00923,0.4,0.6,0.0,1.9219,5,106.16,1040.4,60.15,1.0,0.0,515.6683,1.0,8
