node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node000,5,0,3,0.0,0.4,0.2,0.4,1.5219,5,197.83,656.0,74.04,1.0,False
Node000,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,215.94,850.0,85.08,1.0,False
Node000,0,5,5,0.00253,0.2,0.4,0.0,2.3219,5,79.89,771.6,65.86,1.0,False
Node000,5,0,3,0.0,0.4,0.4,0.2,1.5219,5,244.02,946.6,78.79,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,159.17,1076.4,89.34,1.0,False
Node000,0,5,3,0.00168,0.6,0.6,0.2,1.371,5,62.9,1085.0,58.74,1.0,False
Node000,0,5,5,0.00128,0.2,0.2,0.4,2.3219,5,24.0,1007.8,45.02,1.0,False
Node000,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,233.29,1109.4,75.81,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,214.91,1316.8,75.66,1.0,False
Node000,0,5,5,0.00259,0.2,0.2,0.2,2.3219,4,66.86,698.0,59.94,1.0,False
Node000,2,3,5,0.02459,0.2,0.2,0.2,2.3219,5,121.53,1206.4,58.11,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,177.89,856.0,74.03,1.0,False
Node000,3,2,4,0.00044,0.4,0.4,0.0,1.9219,5,194.14,1510.2,75.78,1.0,False
Node000,0,5,4,0.00043,0.4,0.4,0.2,1.9219,5,49.42,1288.8,56.32,1.0,False
Node000,0,5,4,0.00122,0.4,0.0,0.0,1.9219,5,145.16,857.4,63.79,1.0,False
Node000,2,3,4,0.023,0.4,0.2,0.4,1.9219,5,116.31,1162.4,76.02,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,256.33,829.0,77.9,1.0,False
Node000,3,2,5,0.00126,0.2,0.2,0.6,2.3219,5,166.45,1596.2,67.01,1.0,False
Node000,0,5,4,0.00071,0.4,0.4,0.2,1.9219,5,138.83,1650.4,67.22,1.0,False
Node000,0,5,5,0.00138,0.2,0.2,0.2,2.3219,5,89.76,1236.4,50.73,1.0,False
Node000,5,0,4,0.0,0.4,0.6,0.2,1.9219,5,221.5,1185.8,84.64,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,167.75,1380.0,82.66,1.0,False
Node000,0,5,3,0.00085,0.6,0.6,0.0,1.371,5,80.61,1302.6,52.38,1.0,False
Node000,0,5,3,0.00044,0.6,0.8,0.2,1.371,5,158.28,873.0,68.29,1.0,False
Node000,4,1,5,0.02695,0.2,0.0,0.4,2.3219,4,140.1,1289.6,75.6,1.0,False
Node000,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,194.68,1304.8,86.62,1.0,False
Node000,1,4,2,0.00085,0.8,0.8,0.0,0.7219,4,91.1,1562.4,66.26,1.0,False
Node000,0,5,5,0.0011,0.2,0.2,0.4,2.3219,5,22.58,816.8,50.27,1.0,False
Node000,0,5,4,0.00083,0.4,0.4,0.2,1.9219,5,156.49,1211.6,68.65,1.0,False
Node000,4,1,4,0.02808,0.4,0.2,0.6,1.9219,4,140.91,1285.4,83.21,1.0,False
Node000,5,0,5,0.0,0.2,0.6,0.0,2.3219,5,185.45,858.4,78.04,1.0,False
Node000,1,4,4,0.00086,0.4,0.4,0.4,1.9219,5,48.87,1292.6,65.39,1.0,False
Node000,1,4,4,0.02291,0.4,0.2,0.2,1.9219,5,57.72,1001.0,62.88,1.0,False
Node000,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,178.17,1020.2,75.39,1.0,False
Node000,4,1,4,0.00255,0.4,0.4,0.6,1.9219,5,164.76,1063.8,70.35,1.0,False
Node000,0,5,4,0.00163,0.4,0.2,0.0,1.9219,5,159.51,569.6,69.65,1.0,False
Node000,4,1,5,0.0288,0.2,0.2,0.6,2.3219,5,190.64,1312.0,75.84,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,156.88,1428.2,89.66,1.0,False
Node000,1,4,4,0.00045,0.4,0.2,0.2,1.9219,5,80.15,583.4,62.37,1.0,False
Node000,0,5,4,0.0,0.4,0.0,0.4,1.9219,5,88.14,1330.6,66.99,1.0,False
Node000,3,2,5,0.02724,0.2,0.0,0.2,2.3219,5,138.04,1251.2,72.01,1.0,False
Node000,5,0,4,0.0,0.4,0.6,0.0,1.9219,5,182.42,1320.2,85.26,1.0,False
Node000,2,3,5,0.00048,0.2,0.2,0.4,2.3219,5,122.41,1256.2,67.54,1.0,False
Node000,0,5,4,0.0,0.4,0.4,0.0,1.9219,5,119.89,744.8,61.28,1.0,False
Node000,2,3,5,0.02673,0.2,0.2,0.4,2.3219,5,122.7,958.4,63.88,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,133.42,956.8,84.01,1.0,False
Node000,3,2,4,0.00046,0.4,0.0,0.2,1.9219,5,108.31,1173.2,66.84,1.0,False
Node000,0,5,4,0.00087,0.4,0.4,0.2,1.9219,5,80.68,1088.6,68.63,1.0,False
Node000,4,1,5,0.02729,0.2,0.2,0.2,2.3219,5,178.28,927.2,64.75,1.0,False
Node000,5,0,5,0.0,0.2,0.0,0.0,2.3219,5,240.36,978.8,81.9,1.0,False
Node000,1,4,5,0.00098,0.2,0.4,0.4,2.3219,5,44.1,940.2,55.57,1.0,False
Node000,0,5,4,0.0,0.4,0.2,0.4,1.9219,5,57.62,1138.6,53.8,1.0,False
Node000,1,4,4,0.02685,0.4,0.2,0.6,1.9219,5,69.92,1356.6,59.67,1.0,False
Node000,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,187.16,1533.4,81.62,1.0,False
Node000,4,1,4,0.00087,0.4,0.2,0.2,1.9219,5,189.6,990.0,86.81,1.0,False
