Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR,Delay,Energy,Path_Selected,Packet_Loss,Anomaly_Score,Label
N52,0.525,0.547,0.536,Sybil Attack,0.762,61,54.14,39.87,0.973,P5->P16->P30,19.9,0.469,1
N117,0.331,1,0.666,Sybil Attack,0.278,62,99.17,49.44,4.872,P1->P11->P29,20.75,0.403,0
N13,0.324,0.57,0.447,Normal,0.273,11,75.71,29.15,4.644,P1->P15->P29,33.45,0.797,0
N71,0.593,0.446,0.52,Normal,0.886,97,88.19,34.32,1.518,P10->P11->P22,30.14,0.343,0
N86,0.939,0.702,0.82,Sybil Attack,0.466,47,83.63,15.74,4.283,P3->P15->P28,31.08,0.624,0
N90,0.839,0.77,0.804,Normal,0.993,13,97.74,40.33,2.932,P9->P20->P23,22.47,0.106,0
N97,0.24,0.986,0.613,Normal,0.522,81,85.64,21.19,0.674,P2->P11->P23,31.19,0.654,0
N24,0.731,0.809,0.77,Sybil Attack,0.704,21,75.78,10.72,3.074,P4->P11->P28,41.51,0.529,1
N136,0.639,0.364,0.502,Normal,0.574,27,62.91,31.16,2.053,P7->P12->P27,41.42,0.954,0
N58,0.94,0.783,0.861,Normal,0.431,24,94.5,31.58,2.139,P6->P16->P25,48.52,0.718,0
N113,0.237,0.917,0.577,Normal,0.789,34,71.05,15.52,2.918,P10->P19->P23,2.38,0.051,0
N153,0.737,0.562,0.65,Normal,0.814,80,86.67,49.88,4.748,P10->P15->P22,8.38,0.527,0
N73,0.489,0.421,0.455,Normal,0.202,13,80.36,21.3,4.955,P5->P19->P30,22.07,0.474,0
N15,0.257,0.601,0.429,Normal,0.963,45,77.13,18.64,3.45,P9->P18->P25,39.44,0.203,0
N9,0.718,0.806,0.762,Sybil Attack,0.537,91,97.46,48.3,3.473,P6->P17->P25,13.91,0.518,1
N174,0.551,0.685,0.618,Sybil Attack,0.863,13,84.24,49.87,3.933,P9->P17->P24,31.41,0.756,1
N169,0.651,0.328,0.49,Sybil Attack,0.335,61,56.18,13.92,1.27,P4->P20->P22,41.51,0.434,0
N44,0.574,0.505,0.54,Sybil Attack,0.084,12,97.97,47.19,2.482,P2->P14->P30,10.94,0.535,0
N7,0.709,0.466,0.588,Sybil Attack,0.816,27,77.3,7.49,0.523,P3->P15->P25,20.16,0.537,1
N82,0.711,0.75,0.73,Normal,0.393,96,75.78,23.21,1.094,P10->P17->P28,16.58,0.592,0
N8,0.888,0.818,0.853,Sybil Attack,0.252,17,75.6,31.65,2.53,P9->P17->P25,31.55,0.87,0
N104,0.376,0.905,0.641,Sybil Attack,0.033,40,77.9,5.75,1.457,P9->P20->P24,44.9,0.823,0
N18,0.538,0.641,0.59,Sybil Attack,0.297,10,91.69,23.96,1.696,P6->P14->P27,24.03,0.599,0
N5,0.639,0.43,0.534,Sybil Attack,0.895,98,84.57,34.5,3.601,P2->P12->P27,37.03,0.744,1
N98,0.905,0.237,0.571,Sybil Attack,0.251,89,71.58,12.54,2.038,P5->P12->P25,27.38,0.905,0
N81,0.906,0.281,0.594,Sybil Attack,0.122,31,53.74,6.97,3.213,P3->P13->P28,16.06,0.897,0
N164,0.405,0.227,0.316,Sybil Attack,0.32,15,82.55,36.48,0.593,P5->P17->P29,20.91,0.53,0
N87,0.574,0.755,0.664,Sybil Attack,0.013,89,53.97,21.24,2.031,P5->P14->P21,30.48,0.224,0
N131,0.816,0.488,0.652,Normal,0.872,90,69.21,47.39,1.367,P10->P11->P21,37.11,0.641,0
N135,0.683,0.721,0.702,Normal,0.384,86,81.74,6.6,1.574,P10->P17->P21,52.26,0.999,0
N106,0.715,0.969,0.842,Sybil Attack,0.217,40,51.07,11.25,0.741,P3->P19->P26,9.28,0.137,0
N35,0.513,0.761,0.637,Normal,0.747,26,60.86,20.04,0.54,P3->P16->P27,45.48,0.112,0
N143,0.979,0.803,0.891,Sybil Attack,0.147,72,80.11,22.62,3.972,P10->P13->P24,1.79,0.993,0
N80,0.849,0.519,0.684,Normal,0.202,48,78.96,19.5,0.521,P9->P15->P30,2.26,0.114,0
N111,0.979,0.252,0.615,Normal,0.512,76,77.22,44.95,2.866,P5->P14->P28,40.66,0.053,0
N173,0.587,0.607,0.597,Normal,0.59,81,70.69,18.48,2.404,P9->P12->P28,17.55,0.26,0
N69,0.431,0.732,0.582,Normal,0.826,57,95.15,24.54,1.046,P10->P12->P23,7.38,0.086,0
N2,0.365,0.476,0.42,Sybil Attack,0.948,50,98.21,16.62,3.832,P8->P17->P29,18.54,0.916,1
N147,0.914,0.349,0.632,Normal,0.912,75,63.43,17.48,0.593,P10->P14->P22,52.71,0.949,0
N103,0.362,0.882,0.622,Normal,0.077,52,68.7,37.19,4.865,P7->P14->P22,38.1,0.451,0
N47,0.528,0.481,0.504,Sybil Attack,0.002,51,92.11,20.93,1.115,P6->P20->P24,36.25,0.354,0
N187,0.788,0.67,0.729,Sybil Attack,0.106,68,99.06,14.3,1.432,P7->P16->P24,1.71,0.372,0
N161,0.236,0.422,0.329,Sybil Attack,0.864,74,56.25,34.22,0.56,P8->P15->P23,37.28,0.001,1
N171,0.761,0.653,0.707,Normal,0.126,60,86.35,28.42,4.446,P4->P11->P24,29,0.346,0
N128,0.421,0.771,0.596,Normal,0.48,80,89.4,22.19,1.637,P3->P17->P30,32.36,0.278,0
N15,0.677,0.221,0.449,Normal,0.549,25,84.93,31.7,3.923,P2->P13->P30,32.19,0.781,0
N162,0.891,0.232,0.562,Normal,0.805,39,96.88,30.86,3.571,P4->P17->P22,1.01,0.132,0
N76,0.725,0.677,0.701,Sybil Attack,0.501,31,99.92,26.74,4.294,P6->P12->P26,27.24,0.01,1
N192,0.225,0.672,0.448,Normal,0.285,40,68.79,48.76,4.142,P2->P18->P23,32.9,0.886,0
N95,0.467,0.824,0.646,Normal,0.686,66,77.81,44.09,4.552,P3->P20->P25,7.45,0.699,0
N43,0.552,0.665,0.608,Normal,0.038,11,95.2,21.43,1.06,P9->P13->P24,1.46,0.225,0
N125,0.596,0.623,0.609,Sybil Attack,0.956,42,50.18,42.8,1.729,P1->P15->P23,16.72,0.043,1
N40,0.587,0.944,0.766,Sybil Attack,0.892,58,55.31,7.64,1.802,P10->P12->P29,17.4,0.747,1
N61,0.9,0.365,0.633,Normal,0.235,86,69.29,43.67,3.042,P7->P16->P23,50.43,0.936,0
N48,0.47,0.515,0.492,Sybil Attack,0.489,21,70.32,8.09,3.293,P7->P20->P23,36.62,0.166,0
N38,0.726,0.681,0.704,Normal,0.485,14,81.83,13.53,4.053,P6->P15->P24,24.76,0.9,0
N63,0.407,0.466,0.436,Normal,0.483,91,83.61,31.12,4.228,P7->P13->P22,33.7,0.413,0
N88,0.658,0.535,0.596,Normal,0.137,95,75.53,37.75,3.463,P5->P16->P25,17.26,0.961,0
N183,0.564,0.263,0.414,Sybil Attack,0.1,38,51.47,16.92,3.989,P7->P12->P25,46.05,0.749,0
N43,0.842,0.93,0.886,Normal,0.396,42,50.91,33.58,4.16,P5->P14->P29,49.36,0.419,0
N164,0.504,0.517,0.51,Sybil Attack,0.803,29,84.46,7.01,2.287,P1->P17->P26,53.9,0.755,1
N112,0.348,0.977,0.662,Sybil Attack,0.354,52,60.35,45.45,3.095,P5->P20->P23,40,0.165,0
